sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno614;666635.75;4914899.74;0;19692.45;40042.47;44.366476;11.090293;48.04;0.59;14.48;5.93;0.16;3.27;9.29;0.54;1.91;0.09;15.7;111;122;19;80;56;100;16;109;180;25;118;10;294;32;66;21;24;13;6;222
Reno615;664495.12;4916411.76;0;17551.82;41554.49;44.380568;11.063923;48.56;0.67;16.59;6.3;0.12;3.14;6.19;0.42;2.35;0.08;15.58;122;106;21;55;41;97;19;118;171;23;119;10;278;40;50;22;16;6;4;699
Reno616;666190.22;4917244.21;0;19246.92;42386.94;44.387671;11.085454;41.47;0.54;13.02;4.6;0.11;2.73;15.89;0.57;1.91;0.07;19.08;87;74;12;47;68;104;17;103;369;26;181;10;383;32;62;24;20;13;2;658
Reno617;667028.42;4918808.5;0;20085.12;43951.23;44.401552;11.096473;46.29;0.61;15.62;6.04;0.1;3;9.22;0.53;2.27;0.08;16.24;106;96;20;52;44;96;16;117;252;22;128;10;354;33;66;21;14;16;2;916
Reno618;662467.98;4918702.95;0;15524.68;43845.68;44.401639;11.039208;49.08;0.64;15.6;5.92;0.16;3.22;7.54;0.52;2.15;0.09;15.08;116;101;21;64;38;102;16;110;192;23;133;10;254;32;69;23;16;6;2;393
Reno619;661817.28;4918873.72;0;14873.98;44016.45;44.403321;11.031095;52.18;0.64;15.27;5.84;0.25;3.05;6.14;0.49;2.01;0.09;14.04;111;107;21;72;55;105;15;110;155;27;123;11;302;32;61;20;20;3;2;460
Reno620;661211.39;4921347.84;0;14268.09;46490.57;44.425716;11.024259;48.44;0.53;12.55;4.45;0.13;2.95;11.46;0.67;1.89;0.1;16.79;89;93;11;59;39;85;16;100;231;22;131;10;320;30;48;20;19;0;3;504
Reno621;664168.18;4921480.35;0;17224.88;46623.08;44.426244;11.061423;46.67;0.61;14.94;5.67;0.15;3.11;8.86;0.48;2.06;0.08;17.36;113;101;20;60;32;92;18;101;204;20;95;9;264;28;56;21;15;0;6;496
Reno622;663427.44;4922693.03;0;16484.14;47835.76;44.437322;11.052505;48.17;0.49;12.21;4.34;0.12;2.89;12.31;0.75;1.82;0.1;16.79;82;92;12;57;40;82;10;96;250;21;134;9;333;23;42;19;15;0;3;629
Reno623;665505.72;4924198.81;0;18562.42;49341.54;44.450397;11.079083;45.19;0.48;12.43;4.75;0.18;2.78;13.59;0.6;1.84;0.1;18.05;85;89;13;57;45;91;15;95;269;24;132;8;578;21;45;23;15;14;3;643
Reno624;667226.94;4925180.7;0;20283.64;50323.43;44.458835;11.101018;47.96;0.45;11.52;4.18;0.15;2.94;14.34;0.87;1.7;0.09;15.8;74;107;10;59;39;75;12;82;278;22;176;10;571;24;46;21;16;3;4;682
Reno625;664258.18;4926715.99;0;17314.88;51858.72;44.473328;11.064212;40.86;0.49;12.55;4.84;0.12;2.57;15.55;0.43;1.55;0.09;20.94;92;93;15;49;34;86;11;82;284;19;127;7;439;23;48;24;12;0;2;536
Reno626;671484.95;4930998.08;0;24541.65;56140.81;44.510173;11.156432;51.53;0.54;11.54;4.37;0.13;2.76;11.62;0.9;1.68;0.13;14.79;82;160;10;67;29;77;13;81;223;24;240;10;312;29;38;20;18;23;2;567
Reno627;673151.8;4933656.42;0;26208.5;58799.15;44.53369;11.178279;43.87;0.56;13.26;5.55;0.1;3.19;12.06;0.54;1.9;0.12;18.85;111;139;20;82;36;110;16;107;250;22;97;7;286;31;53;23;19;12;2;441
Reno628;670413.57;4934714.09;0;23470.27;59856.82;44.543857;11.144189;55.02;0.51;10.5;4.03;0.14;1.86;9.61;1.01;1.44;0.34;15.53;66;132;10;61;77;259;8;74;182;25;278;8;393;26;41;16;43;27;4;432
Reno629;691627.61;4912642.17;0;44684.31;37784.9;44.340001;11.402859;51.52;0.39;7.82;3.64;0.23;2.2;16.11;0.96;1.43;0.09;15.6;40;402;6;79;20;59;11;71;379;24;329;9;311;24;55;18;6;8;4;503
