sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno001;704050.96;4915166.82;0;57107.66;40309.55;44.359324;11.559543;40.72;0.5;12.19;5.73;0.19;3.39;14.79;0.66;2.02;0.1;19.71;96;112;21;84;24;105;9;112;341;19;109;8;438;27;53;23;18;9;20;730
Reno002;703211.21;4914672.87;0;56267.91;39815.6;44.355117;11.548823;47.82;0.56;14.18;5.53;0.13;2.97;10.15;0.63;2.3;0.08;15.65;86;100;16;64;23;96;14;111;284;22;113;11;414;27;55;18;17;5;10;870
Reno003;704043.9;4913712.83;0;57100.6;38855.56;44.346249;11.558885;41.84;0.5;13.58;4.64;0.08;2.89;9.17;0.56;1.99;0.08;24.67;92;96;13;58;0;81;8;118;306;24;123;11;277;30;58;15;9;8;6;890
Reno004;703151.94;4913582.85;0;56208.64;38725.58;44.34533;11.547655;48.14;0.64;16.82;6.14;0.08;2.99;6.13;0.49;2.71;0.06;15.8;114;112;19;62;20;101;15;142;243;24;107;11;351;34;71;19;19;6;4;490
Reno005;701222.87;4914409.05;0;54279.57;39551.78;44.353298;11.523796;48.96;0.55;13.71;5.45;0.13;2.97;10.4;0.71;2.25;0.08;14.79;75;80;13;58;23;92;10;102;264;26;130;10;568;30;61;13;17;4;3;810
Reno006;702875.88;4912788.86;0;55932.58;37931.59;44.338266;11.543886;45.66;0.6;14.8;5.65;0.12;2.97;10.3;0.53;2.28;0.07;17.02;95;94;19;61;11;87;10;108;259;20;119;12;348;32;60;20;14;10;3;660
Reno007;702875.93;4911897.82;0;55932.63;37040.55;44.330252;11.54354;44.05;0.59;15.83;6;0.15;2.99;8.85;0.41;2.57;0.08;18.48;102;94;17;57;13;90;11;120;221;24;104;11;273;35;65;18;16;8;2;460
Reno008;702049.91;4912140.97;0;55106.61;37283.7;44.332669;11.533284;46.75;0.6;15.37;5.61;0.11;2.97;8.88;0.51;2.41;0.07;16.72;98;99;17;61;17;99;10;120;267;22;118;11;380;29;55;19;15;9;3;540
Reno009;700557.89;4912740.09;0;53614.59;37882.82;44.338471;11.514818;43.53;0.57;14.28;6.05;0.13;2.85;13.92;0.45;2.4;0.06;15.76;85;84;12;55;23;96;12;112;374;20;102;10;371;30;63;16;17;4;3;119
Reno010;701530.92;4911476.96;0;54587.62;36619.69;44.326841;11.526524;46.62;0.53;14.51;5.03;0.11;2.8;9.26;0.57;2.23;0.07;18.27;84;90;15;56;15;79;10;112;280;23;124;10;382;26;53;14;15;6;3;700
Reno011;700270.91;4910676.08;0;53327.61;35818.81;44.319986;11.510429;45.7;0.54;13.93;5.33;0.14;2.62;11.87;0.52;2.21;0.05;17.09;88;92;16;54;20;81;13;108;275;21;117;11;337;28;57;19;11;7;4;700
Reno012;699670.84;4910158.08;0;52727.54;35300.81;44.315492;11.502713;41.95;0.57;14.44;5.31;0.12;3.11;10.96;0.51;2.36;0.07;20.6;103;97;14;62;12;88;11;130;398;23;102;11;294;25;53;18;14;3;3;470
Reno013;700578.9;4908617.99;0;53635.6;33760.72;44.30139;11.513497;44.06;0.58;14.86;5.58;0.12;3.28;10.75;0.53;2.5;0.07;17.67;108;109;18;67;13;88;15;132;373;21;95;12;314;29;61;20;16;8;3;680
Reno014;699022.84;4910417.17;0;52079.54;35559.9;44.318;11.494694;46.55;0.55;14.24;5.16;0.13;3.02;10.84;0.56;2.28;0.07;16.6;83;102;16;65;17;84;9;107;284;24;136;11;364;28;57;18;13;5;6;640
Reno015;698333.86;4911000.27;0;51390.56;36143;44.323433;11.486284;52.33;0.51;14.08;4.83;0.12;2.72;9.37;0.79;2.43;0.08;12.74;74;83;12;53;17;80;10;106;260;26;163;8;537;32;63;17;21;6;4;750
Reno016;698157.89;4911784.2;0;51214.59;36926.93;44.330532;11.484377;49.32;0.53;13.68;5.19;0.12;2.77;10.55;0.76;2.35;0.08;14.65;83;94;12;59;19;83;11;111;298;26;140;10;546;32;61;18;13;4;2;990
Reno017;698365.88;4910563.19;0;51422.58;35705.92;44.319493;11.486519;48.64;0.51;13.92;4.67;0.15;3.05;11.77;0.74;2.35;0.09;14.11;74;96;11;62;19;79;10;104;278;24;148;9;627;32;67;19;15;7;3;700
Reno018;698219.87;4910174.2;0;51276.57;35316.93;44.316034;11.484542;47.7;0.6;16.47;6.23;0.09;2.65;6.5;0.4;2.42;0.07;16.87;105;96;22;55;19;104;12;121;205;22;110;11;246;29;63;19;14;9;2;530
Reno019;698171.82;4908991.24;0;51228.52;34133.97;44.305407;11.483491;47.78;0.65;16.39;6.28;0.15;3.09;7.01;0.54;2.61;0.08;15.42;111;96;21;58;17;96;14;133;240;24;126;13;337;30;66;17;16;10;3;350
Reno020;697652.88;4910190.28;0;50709.58;35333.01;44.316333;11.477445;44.94;0.55;14.38;5.33;0.12;2.78;11.27;0.47;2.17;0.06;17.93;89;94;18;60;17;83;13;110;295;22;128;12;519;31;64;19;14;7;3;820
Reno021;696728.8;4910855.38;0;49785.5;35998.11;44.322566;11.466119;47.49;0.54;14.06;4.89;0.13;3.09;10.95;0.71;2.37;0.08;15.69;84;98;15;71;15;84;11;111;322;24;134;10;557;27;52;19;15;8;3;610
Reno022;696374.82;4912027.34;0;49431.52;37170.07;44.333203;11.462125;45.53;0.52;13.57;5.15;0.14;3.05;12.9;0.68;2.3;0.08;16.08;86;105;13;67;19;86;8;101;352;22;126;10;765;25;52;18;17;6;3;960
Reno023;696160.81;4909364.32;0;49217.51;34507.05;44.309308;11.458442;45.33;0.59;15.29;5.88;0.11;2.92;10.21;0.49;2.35;0.07;16.76;97;101;17;60;15;93;14;114;259;24;109;9;302;25;55;20;12;4;6;480
Reno024;695414.84;4909234.38;0;48471.54;34377.11;44.30834;11.449049;42.36;0.58;14.2;5.58;0.12;2.93;13.14;0.56;2.24;0.07;18.22;95;100;17;67;20;93;12;115;345;22;108;11;294;24;54;22;11;4;4;480
Reno025;695500.81;4908628.25;0;48557.51;33770.98;44.302865;11.449899;39.98;0.54;12.83;5.11;0.1;2.71;14.99;0.53;1.85;0.06;21.3;89;94;15;55;15;82;15;97;329;21;107;9;310;24;52;22;15;2;4;840
Reno026;694847.82;4908456.46;0;47904.52;33599.19;44.301495;11.441656;47.06;0.61;15.71;6.33;0.13;3.17;8.9;0.6;2.39;0.07;15.03;100;113;19;66;16;90;12;118;253;23;121;10;298;32;58;20;11;6;6;450
Reno027;695560.8;4907160.41;0;48617.5;32303.14;44.289646;11.450101;41.14;0.54;13.22;5.06;0.11;2.68;14.68;0.48;1.92;0.07;20.1;88;84;12;47;22;86;11;100;304;22;129;9;455;28;58;19;14;6;2;520
Reno028;695722.83;4906188.34;0;48779.53;31331.07;44.280859;11.451766;44.87;0.62;15.71;5.55;0.09;2.93;9.57;0.6;2.28;0.07;17.71;93;110;15;63;13;88;13;114;226;23;125;11;365;33;72;20;17;7;2;470
Reno029;695009.85;4905670.45;0;48066.55;30813.18;44.276392;11.442646;46.59;0.65;16.03;5.95;0.09;4.15;6.85;0.55;2.37;0.06;16.71;101;131;21;130;5;89;12;129;194;25;143;14;325;34;67;17;14;3;4;260
Reno030;696857.84;4905264.25;0;49914.54;30406.98;44.272241;11.465629;43.11;0.58;14.28;5.69;0.13;2.69;11.59;0.48;1.98;0.07;19.4;96;93;16;50;15;95;10;99;240;24;124;9;346;28;61;21;11;9;6;490
Reno031;696987.88;4904454.23;0;50044.58;29596.96;44.26492;11.466952;45.73;0.6;15.81;6.37;0.16;2.78;9.21;0.42;2.28;0.07;16.57;105;103;20;59;19;99;12;111;264;20;109;10;380;28;50;20;13;9;3;480
Reno032;697117.85;4902494.31;0;50174.55;27637.04;44.247256;11.467841;43.96;0.61;14.7;5.76;0.1;2.85;11.26;0.49;2.28;0.07;17.92;96;88;16;49;15;97;13;111;248;23;111;13;233;28;57;19;11;10;3;450
Reno033;696482.84;4902033.32;0;49539.54;27176.05;44.243281;11.459722;45.02;0.59;15.75;5.86;0.1;2.79;9.75;0.42;2.44;0.07;17.21;102;94;19;51;17;100;12;120;298;23;120;11;273;28;60;21;17;4;3;440
Reno034;695088.82;4899262.36;0;48145.52;24405.09;44.218731;11.441248;49.1;0.57;13.93;4.78;0.11;3.82;9.89;1.08;2.22;0.11;14.39;84;93;9;55;0;79;8;98;180;20;127;8;374;26;57;17;17;3;4;270
Reno035;696487.71;4901020.21;0;49544.41;26162.94;44.234167;11.459403;46.22;0.43;10.97;3.91;0.09;3.46;15.37;1.1;1.77;0.11;16.57;59;78;6;51;3;64;8;78;299;23;143;8;285;20;36;17;19;5;5;220
Reno036;694861.8;4901190.37;0;47918.5;26333.1;44.236134;11.439125;42.9;0.52;13.41;5.05;0.13;2.83;14.02;0.56;1.94;0.09;18.55;85;85;14;55;18;88;12;89;303;19;112;10;286;23;40;20;17;5;3;330
Reno037;695088.82;4899262.36;0;48145.52;24405.09;44.218731;11.441248;47.24;0.6;15.59;6.1;0.16;2.95;8.77;0.54;2.28;0.08;15.69;103;103;20;62;18;97;12;108;195;25;140;9;394;36;68;19;15;6;3;320
Reno038;694164.81;4899165.47;0;47221.51;24308.2;44.218106;11.429655;45.34;0.59;14.77;5.82;0.13;2.72;10.29;0.51;2.14;0.1;17.59;97;102;18;62;15;98;9;104;234;23;140;11;301;27;54;21;19;4;2;420
Reno039;710921.99;4920609.35;0;63978.69;45752.08;44.406306;11.647882;45.62;0.45;10.08;3.89;0.16;2.61;17.68;1.02;1.65;0.12;16.72;57;107;8;51;14;63;7;67;297;16;132;7;612;18;32;20;16;8;2;690
Reno040;711200.01;4915795.15;0;64256.71;40937.88;44.36293;11.649415;46.63;0.44;10.13;3.97;0.25;2.68;16.82;1.09;1.67;0.13;16.19;56;105;8;49;12;67;7;74;318;24;181;8;514;20;34;19;17;10;6;670
Reno041;709189.01;4914937.37;0;62245.71;40080.1;44.355798;11.62386;46.48;0.41;10.27;4;0.17;2.65;16.93;1.08;1.7;0.11;16.2;57;95;8;51;11;66;6;69;295;17;132;8;589;15;38;18;13;7;7;580
Reno042;707080.96;4913997.55;0;60137.66;39140.28;44.34795;11.597062;47.28;0.39;10.11;3.9;0.13;2.71;17.01;1.17;1.73;0.1;15.47;57;94;7;46;9;63;9;72;322;18;112;7;559;14;40;18;14;4;6;1020
Reno043;706010.93;4912393.62;0;59067.63;37536.35;44.333829;11.583017;46.47;0.55;13.17;5.41;0.11;3.08;12.14;0.8;2.11;0.09;16.07;91;112;17;70;9;203;10;105;308;21;110;9;307;19;50;20;16;7;8;1110
Reno044;705362.9;4910740.65;0;58419.6;35883.38;44.319146;11.574246;46.69;0.55;13.5;5.22;0.1;2.85;11.7;0.71;2.03;0.1;16.55;95;107;15;67;14;85;10;99;293;22;120;8;262;26;39;20;12;2;10;520
Reno045;703854.94;4910205.8;0;56911.64;35348.53;44.31476;11.555146;44.6;0.54;13.29;5.57;0.13;2.96;12.5;0.58;2.1;0.09;17.64;91;97;15;65;14;88;9;105;315;25;112;9;296;25;40;20;18;7;4;620
Reno046;720418.11;4912876.2;0;73474.81;38018.93;44.333941;11.763731;42.2;0.59;12.11;4.88;0.11;3.43;15.08;0.48;2.04;0.12;18.96;92;122;10;66;47;93;19;125;357;26;127;16;304;28;57;17;13;8;2;440
Reno047;717819.29;4909084.26;0;70875.99;34226.99;44.300625;11.729588;39.75;0.59;13.72;5.62;0.13;3.35;14.26;0.13;2.11;0.13;20.21;111;133;12;82;74;106;20;136;368;24;99;15;294;25;62;21;16;11;6;490
Reno048;694171.79;4925028.59;0;47228.49;50171.32;44.450737;11.439373;50.24;0.38;10.49;3.47;0.12;2.39;15.27;0.88;1.75;0.09;14.92;59;166;7;58;30;75;13;84;365;23;168;6;494;20;36;23;12;0;6;530
Reno049;694359.23;4923925.18;0;47415.93;49067.91;44.440762;11.441313;47.11;0.57;14.63;5.47;0.12;3.01;10.54;0.45;1.98;0.09;16.03;104;112;17;62;47;102;18;114;299;26;129;9;529;30;61;25;18;9;7;800
Reno050;693174.82;4921174.66;0;46231.52;46317.39;44.416339;11.425419;38.6;0.49;11.81;4.38;0.11;2.86;17.31;0.46;1.65;0.1;22.23;88;107;12;66;41;107;17;97;469;20;114;8;338;28;60;27;18;7;4;1170
Reno051;691146.76;4903200.72;0;44203.46;28343.45;44.255201;11.393378;47.34;0.67;16.44;6.16;0.1;3.27;8.35;0.53;2.08;0.1;14.96;133;132;21;67;46;104;23;126;227;24;117;11;281;40;73;27;20;12;2;460
Reno052;690204.77;4903411.99;0;43261.47;28554.72;44.257348;11.381665;43.78;0.57;14.32;5.37;0.08;2.8;12.49;0.59;1.91;0.09;18;103;99;14;54;55;106;21;114;303;22;146;9;438;27;54;25;21;3;3;570
Reno053;689683.77;4901326.81;0;42740.47;26469.54;44.238727;11.374389;48.63;0.75;17.82;6.93;0.11;3.17;5.94;0.6;2.3;0.09;13.66;141;133;25;66;44;113;25;141;330;26;124;14;349;35;70;27;18;5;3;270
Reno054;687161.73;4898202.94;0;40218.43;23345.67;44.211278;11.341717;49.66;0.65;16.23;5.68;0.1;2.84;8.79;0.61;2.15;0.09;13.2;110;112;19;55;39;100;22;124;236;25;136;10;377;39;74;26;18;6;5;310
Reno055;688039.74;4899823.83;0;41096.44;24966.56;44.225633;11.353279;49.04;0.5;12.64;4.08;0.09;2.19;12.8;0.86;1.87;0.08;15.85;126;79;9;47;38;87;15;105;286;22;144;10;406;29;53;25;17;11;2;560
Reno056;693898.83;4917843.62;0;46955.53;42986.35;44.386184;11.433262;36.22;0.37;8.63;3.46;0.07;2.46;21.78;0.51;1.17;0.19;25.14;65;108;7;71;36;109;14;74;626;19;106;6;319;22;41;28;13;4;3;900
Reno057;691815.99;4913150.09;0;44872.69;38292.82;44.34452;11.405407;39.23;0.38;8.76;3.18;0.08;2.76;22.17;0.7;1.45;0.11;21.18;62;109;6;69;33;71;15;77;559;21;128;7;361;21;44;29;16;3;2;760
Reno058;692378.62;4914368.09;0;45435.32;39510.82;44.355327;11.412909;51.53;0.38;8.16;2.62;0.16;2.16;20.64;1.17;1.41;0.08;11.69;40;287;1;58;28;55;13;60;329;24;261;4;347;18;36;29;14;3;2;180
Reno059;691468.82;4909345.69;0;44525.52;34488.42;44.310391;11.399659;43.54;0.46;11;4.66;0.09;2.84;16.94;0.67;1.61;0.13;18.06;80;105;14;71;33;93;17;87;437;22;140;9;355;29;50;28;18;2;3;1140
Reno060;691344.75;4906719.73;0;44401.45;31862.46;44.286803;11.397143;50.67;0.55;14.61;5.2;0.12;2.79;10.1;0.73;1.94;0.09;13.2;93;106;16;58;40;95;17;107;257;23;134;10;450;30;53;24;17;10;4;440
Reno061;690427.81;4904737.73;0;43484.51;29880.46;44.269215;11.384939;47.56;0.58;14.26;4.99;0.1;2.67;11.6;0.7;1.9;0.09;15.55;98;94;13;53;42;94;18;107;286;24;154;10;399;27;58;26;19;7;4;510
Reno062;691661.77;4905773.71;0;44718.47;30916.44;44.27821;11.400766;48.5;0.67;16.95;6.06;0.1;3.44;6.83;0.5;2.12;0.09;14.74;128;127;22;75;40;105;23;134;219;27;124;12;295;28;62;25;19;5;6;380
Reno063;694593.81;4926862.64;0;47650.51;52005.37;44.46712;11.445361;46.94;0.47;11.68;4.02;0.1;3;16.4;0.73;1.69;0.11;14.86;73;121;9;65;32;75;14;85;355;25;160;7;352;23;48;24;14;4;7;620
Reno064;695386.78;4923443.51;0;48443.48;48586.24;44.436153;11.454032;45.05;0.51;12.15;4.63;0.11;1.99;14.1;0.62;1.82;0.09;18.93;76;102;12;62;44;107;16;95;318;20;146;10;308;23;45;19;20;4;9;560
Reno065;694022.78;4916951.56;0;47079.48;42094.29;44.378127;11.434484;50.39;0.65;15.72;6.21;0.11;2.8;7.47;0.63;2.25;0.08;13.69;104;105;18;61;42;109;22;115;220;23;118;11;289;28;54;18;17;5;3;520
Reno066;693258.81;4915115.61;0;46315.51;40258.34;44.361817;11.424221;42.1;0.42;9.33;3.5;0.08;2.76;20.8;0.96;1.62;0.1;18.33;54;90;5;57;27;68;14;74;553;21;130;5;304;23;50;21;11;4;3;1000
Reno067;692287.82;4912764.62;0;45344.52;37907.35;44.340928;11.411179;43.64;0.37;8.53;2.97;0.08;2.53;21.57;1.04;1.67;0.1;17.5;45;96;2;54;29;63;14;73;517;18;134;8;281;20;35;20;13;4;6;940
Reno068;688795.89;4899531.72;0;41852.59;24674.45;44.22281;11.362633;53.21;0.76;18.39;6.49;0.14;2.78;4;0.8;2.61;0.09;10.73;126;118;24;64;57;116;24;131;156;25;123;12;273;33;63;16;14;9;4;310
Reno069;687133.78;4896018.96;0;40190.48;21161.69;44.191639;11.340589;49.61;0.76;15.53;5.47;0.09;2.6;7.87;0.52;2.45;0.12;14.98;113;117;16;66;41;115;20;127;194;22;179;15;402;31;69;0;14;20;4;540
Reno070;693700.76;4924508.59;0;46757.46;49651.32;44.446186;11.433264;50.34;0.41;10.37;3.68;0.11;2.48;14.26;0.93;1.64;0.09;15.69;68;142;9;64;27;75;14;85;356;21;156;9;386;33;49;24;16;9;3;470
Reno071;687650.77;4902928.93;0;40707.47;28071.66;44.253665;11.349525;43.99;0.51;12;3.69;0.09;1.72;17.23;0.71;1.75;0.07;18.24;72;55;5;33;31;73;19;105;238;22;167;9;474;29;51;24;22;5;4;580
Reno072;688914.76;4904960.83;0;41971.46;30103.56;44.271616;11.366078;60.51;0.38;12.19;2.89;0.22;1.5;7.26;1.26;2.34;0.33;11.12;51;46;1;22;26;81;14;118;178;20;155;7;496;27;46;14;19;5;4;580
Reno073;688979.67;4909160.01;0;42036.37;34302.74;44.309372;11.368409;56.46;0.38;10.68;3.38;0.08;2.02;11.05;1.01;1.84;0.11;12.99;57;85;6;48;28;70;14;97;310;22;151;6;394;24;39;18;16;4;3;440
Reno074;691766.78;4923492.77;0;44823.48;48635.5;44.437564;11.408605;49.84;0.41;11.63;4.02;0.11;2.77;13.74;0.83;1.82;0.1;14.73;71;127;12;62;30;80;17;92;340;19;115;7;406;25;46;23;17;4;2;510
Reno075;690625.77;4921262.8;0;43682.47;46405.53;44.417807;11.393461;48.82;0.51;12.54;4.75;0.12;2.78;12.33;0.66;1.72;0.11;15.66;89;179;12;64;35;91;18;95;303;23;162;10;327;22;48;24;17;7;5;700
Reno076;690923.75;4919429.81;0;43980.45;44572.54;44.401241;11.396527;47.21;0.37;8.73;3.25;0.14;2.51;17.67;0.91;1.45;0.1;17.66;55;238;6;62;31;75;15;73;409;24;198;6;519;23;36;24;24;2;4;570
Reno077;691787.8;4916653.68;0;44844.5;41796.41;44.376042;11.406344;50.72;0.36;8.95;3.18;0.12;2.52;17.74;0.98;1.49;0.08;13.86;50;130;2;54;26;62;11;71;362;22;228;5;331;25;47;27;13;3;5;810
Reno078;690046.77;4914102.82;0;43103.47;39245.55;44.353555;11.383578;52.91;0.29;8.89;3.01;0.11;2.68;15.59;1.11;1.57;0.08;13.76;48;136;5;72;24;61;13;65;297;14;72;4;354;18;31;23;12;14;3;290
Reno079;688889.73;4913309.96;0;41946.43;38452.69;44.346725;11.368785;44.87;0.33;9.25;3.29;0.11;2.54;18.79;0.76;1.43;0.08;18.55;55;132;3;66;28;71;14;79;381;17;106;4;332;21;42;26;10;6;4;540
Reno080;687550.76;4913755.96;0;40607.46;38898.69;44.351084;11.352161;49.07;0.28;8.03;3.54;0.16;3.13;17.53;1.3;1.29;0.05;15.62;38;173;6;89;26;66;13;58;394;22;132;5;223;20;39;16;11;8;3;410
Reno081;688096.72;4914870.91;0;41153.42;40013.64;44.360972;11.359408;50.38;0.36;9.02;3.57;0.16;2.84;16.4;1.31;1.47;0.07;14.42;48;193;7;78;27;66;10;63;335;19;175;5;244;18;37;19;12;10;3;190
Reno082;690046.8;4918548.83;0;43103.5;43691.56;44.393547;11.385202;49.3;0.58;14.22;5.64;0.14;2.83;9.31;0.72;2.25;0.1;14.91;101;120;19;76;35;102;20;118;269;24;125;11;260;23;51;18;19;4;6;180
Reno083;689832.76;4917521.92;0;42889.46;42664.65;44.384366;11.382142;51.92;0.54;12.62;5.46;0.11;2.89;9.79;1.05;1.88;0.1;13.64;83;123;16;78;32;93;19;93;266;23;164;11;242;27;51;19;13;3;8;490
Reno084;689658.77;4920271.93;0;42715.47;45414.66;44.409148;11.380963;50.1;0.57;13.5;5.32;0.1;2.9;9.38;0.88;2.2;0.13;14.92;100;112;12;64;30;79;21;115;264;22;129;11;248;26;52;17;18;6;3;270
Reno085;687873.73;4910014.95;0;40930.43;35157.68;44.317349;11.354862;48.78;0.58;14.04;5.35;0.09;2.74;10.28;0.71;2.2;0.09;15.14;95;110;13;66;39;107;20;111;293;20;108;11;246;29;55;18;17;4;3;360
Reno086;688220.72;4907635.9;0;41277.42;32778.63;44.295859;11.358352;61.7;0.41;11.76;2.69;0.05;1.54;7.86;1.84;2.55;0.11;9.49;47;44;2;23;24;64;12;112;239;24;214;8;370;21;47;12;14;7;3;390
Reno087;687476.71;4906298.99;0;40533.41;31441.72;44.284025;11.348554;76.21;0.22;9.57;1.09;0.03;0.61;3.29;2.39;2.84;0.05;3.7;17;14;0;9;11;40;7;107;138;17;194;4;371;12;22;4;11;4;2;170
Reno088;702223.91;4922146.02;0;55280.61;47288.75;44.422606;11.539353;51.04;0.61;13.69;4.69;0.17;2.22;9.14;0.51;1.83;0.19;15.91;79;111;14;52;41;112;15;94;220;27;212;14;357;27;56;9;34;14;7;1080
Reno089;705377.69;4923324.34;0;58434.39;48467.07;44.432316;11.579398;48.86;0.68;15;5.83;0.15;2.98;9.07;0.47;2.55;0.11;14.3;96;107;17;59;45;100;20;131;263;32;197;18;405;33;65;11;20;17;16;1430
Reno090;702167.95;4919325.83;0;55224.65;44468.56;44.397257;11.537553;51.22;0.66;15.65;5.77;0.13;3;7.42;0.55;2.69;0.11;12.8;95;102;19;57;46;98;21;137;239;30;183;16;425;32;58;9;16;18;7;1240
Reno091;701772.92;4918030.96;0;54829.62;43173.69;44.385721;11.532095;47.08;0.63;15.87;5.89;0.13;3.1;8.8;0.35;2.74;0.09;15.32;105;111;19;64;52;102;22;144;313;26;143;19;387;27;73;10;18;13;5;1660
Reno092;701283.86;4917524.08;0;54340.56;42666.81;44.381298;11.525765;45.17;0.63;15.74;5.95;0.12;3.13;8.57;0.37;2.68;0.1;17.54;106;111;19;62;46;104;25;137;293;27;131;17;329;33;68;10;17;9;4;1620
Reno093;699779.88;4916961.19;0;52836.58;42103.92;44.376651;11.506687;48.09;0.52;12.6;4.45;0.13;2.46;12.47;0.52;2.27;0.11;16.38;78;97;11;58;39;88;17;119;389;25;190;15;422;23;50;8;13;9;5;700
Reno094;703400.65;4887460.57;0;56457.35;12603.3;44.110312;11.540639;37.29;0.47;9.61;3.73;0.1;2.99;22.31;0.79;1.62;0.12;20.97;63;76;5;53;23;61;16;90;478;23;152;13;292;19;39;21;4;7;5;980
Reno095;701288.87;4885887.9;0;54345.57;11030.63;44.09675;11.513676;33.29;0.45;9.51;3.68;0.11;3.21;25.46;0.67;1.56;0.12;21.94;58;80;6;52;31;58;13;81;475;18;150;12;303;24;44;26;15;10;3;940
Reno096;702064.9;4887690.84;0;55121.6;12833.57;44.112753;11.524052;36.2;0.48;9.69;3.75;0.11;2.81;22.78;0.75;1.65;0.17;21.61;66;82;6;54;33;68;13;90;457;21;154;12;323;19;42;23;16;9;4;1140
Reno097;703368.95;4888284.66;0;56425.65;13427.39;44.117733;11.540561;35.44;0.54;10.04;4.22;0.11;3.43;23.59;0.59;1.7;0.13;20.21;64;88;9;57;30;65;16;83;451;22;154;14;323;24;49;25;16;3;11;1330
Reno098;705428.92;4886441.5;0;58485.62;11584.23;44.10058;11.565562;26.53;0.39;7.99;3.43;0.1;2.81;29.51;0.44;1.36;0.07;27.37;60;68;6;53;36;58;13;87;428;17;112;12;284;18;34;24;6;8;5;1260
Reno099;704102.97;4887043.14;0;57159.67;12185.87;44.106362;11.549245;27.37;0.46;8.66;3.58;0.11;2.65;29.78;0.37;1.39;0.12;25.51;58;74;5;56;30;60;14;76;513;17;126;10;274;26;53;28;11;20;4;1120
Reno100;704461.89;4888466.61;0;57518.59;13609.34;44.119065;11.554277;37.02;0.49;10.32;4.02;0.11;3.22;18.74;0.53;1.64;0.24;23.67;78;88;9;62;44;110;12;93;424;20;126;12;343;23;45;22;16;8;3;1875
Reno101;705231.94;4891318.61;0;58288.64;16461.34;44.144501;11.565002;27.9;0.42;8.23;3.37;0.11;3.22;30.37;0.5;1.45;0.08;24.35;50;70;6;46;36;57;19;72;440;13;100;12;277;17;38;28;4;14;4;1000
Reno102;706262.27;4890561.77;0;59318.97;15704.5;44.137404;11.577575;21.84;0.33;6.69;2.64;0.09;2.6;34.26;0.41;1.07;0.06;30.01;44;55;0;39;31;51;15;65;584;13;89;10;260;20;42;31;13;10;3;1000
Reno103;707145.96;4891720.4;0;60202.66;16863.13;44.147575;11.589067;30.74;0.45;9.01;3.71;0.12;3.44;27.47;0.55;1.55;0.1;22.86;57;71;6;52;28;56;15;79;527;15;124;11;277;22;48;27;15;18;4;960
Reno104;707017.98;4893092.39;0;60074.68;18235.12;44.159951;11.588008;28.74;0.38;7.52;2.98;0.11;2.67;31.42;0.5;1.25;0.11;24.32;50;72;3;44;29;58;11;60;505;15;121;11;273;20;42;28;15;16;8;1430
Reno105;706713.99;4893466.42;0;59770.69;18609.15;44.163401;11.584357;25.33;0.39;7.91;3.35;0.12;2.76;31.04;0.35;1.36;0.1;27.29;60;73;5;50;37;60;11;71;486;14;88;11;306;23;40;28;10;18;4;1000
Reno106;706300.47;4894508.35;0;59357.17;19651.08;44.172889;11.579599;30.41;0.48;8.99;3.7;0.12;3.39;27.42;0.51;1.57;0.1;23.31;60;68;5;52;28;57;15;68;428;13;106;10;296;18;36;27;17;18;3;1080
Reno107;707222.46;4893877.8;0;60279.16;19020.53;44.166957;11.590872;28.59;0.47;9.07;3.82;0.1;2.74;27.06;0.41;1.54;0.1;26.1;66;78;6;58;60;69;17;95;541;19;119;14;284;24;48;24;17;16;3;920
Reno108;707356.93;4895137.45;0;60413.63;20280.18;44.178248;11.593049;38.71;0.54;11.37;4.53;0.11;3.87;17.13;0.73;1.94;0.12;20.95;85;97;11;69;23;76;16;120;438;25;134;13;334;20;36;20;13;10;4;810
Reno109;706957.5;4896572.05;0;60014.2;21714.78;44.191264;11.588622;34.34;0.51;11.15;4.29;0.1;3.95;19.76;0.42;1.85;0.11;23.52;81;92;10;66;35;76;13;115;437;25;115;14;308;26;50;19;21;14;6;770
