sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno633;685631.93;4914795.59;0;38688.63;39938.32;44.360929;11.328476;48.7;0.45;10.59;4.44;0.14;3.37;16.04;0.87;1.62;0.1
Reno634;669951.54;4924047.14;0;23008.24;49189.87;44.448002;11.134871;43.66;0.53;9.99;4.05;0.15;2.58;20.63;0.63;1.53;0.15
Reno635;717547.63;4912449.95;0;70604.33;37592.68;44.330973;11.727589;56.13;0.65;13.23;4.28;0.14;2.09;8.78;0.79;1.83;0.13
Reno636;715649.91;4912118.28;0;68706.61;37261.01;44.328556;11.703676;48.23;0.52;11.27;4.08;0.12;2.87;14.43;0.89;1.91;0.12
Reno637;710929.48;4907473.12;0;63986.18;32615.85;44.288166;11.642659;46.87;0.58;12.36;4.93;0.12;3.2;13.24;0.63;1.97;0.14
Reno638;708581.06;4905766.7;0;61637.76;30909.43;44.273496;11.612575;49.16;0.79;10.65;4.36;0.13;3.78;13.98;1.17;1.83;0.18
Reno639;706422.45;4907260.25;0;59479.15;32402.98;44.287544;11.586144;45.34;0.59;13.02;5.22;0.12;3.22;13.51;0.45;2.06;0.13
Reno640;710217.92;4908753.17;0;63274.62;33895.9;44.299884;11.634265;49.36;0.44;9.88;3.75;0.14;2.63;15.73;1;1.74;0.15
Reno641;711830.92;4911218.01;0;64887.62;36360.74;44.321583;11.655464;45.24;0.56;11.09;4.31;0.13;3.63;15.21;0.8;1.9;0.14
Reno642;718164.35;4914630.39;0;71221.05;39773.12;44.350396;11.736228;51.7;0.58;11.64;4.34;0.15;2.81;12.44;0.96;1.7;0.14
Reno643;711546.22;4909155.93;0;64602.92;34298.66;44.303121;11.651062;49.86;0.54;12.2;4.65;0.13;2.95;12.61;0.93;1.95;0.13
Reno644;708510.01;4904344.65;0;61566.71;29487.38;44.260727;11.611119;54.27;0.76;10.79;4.04;0.13;3.78;11.76;1.53;1.84;0.2
Reno645;706730.84;4906549.16;0;59787.54;31691.89;44.281061;11.589724;49.27;0.58;13.16;5.01;0.13;3.15;12.14;0.83;2.11;0.11
Reno646;705046.63;4904937.58;0;58103.33;30080.31;44.267043;11.568007;53.54;0.54;11.77;4.38;0.13;2.68;12.1;1.22;1.78;0.14
Reno647;700480.35;4898443.61;0;53537.05;23586.34;44.209905;11.508367;50.34;0.58;13.31;5.13;0.13;2.95;11.29;0.84;2.07;0.11
Reno648;695522.65;4889034.2;0;48579.35;14176.93;44.126613;11.442871;53.29;0.54;12.46;4.69;0.12;2.95;10.4;1.23;1.95;0.12
Reno649;696471.54;4891807.33;0;49528.24;16950.06;44.151303;11.455755;52.77;0.58;13.58;5.03;0.13;2.94;9.92;1;2.09;0.12
Reno650;697586.37;4893561.17;0;50643.07;18703.9;44.166778;11.470341;53.15;0.54;12.93;4.85;0.13;2.77;10.69;1.06;1.98;0.11
Reno651;692652.44;4888489.33;0;45709.14;13632.06;44.122473;11.406828;52.73;0.63;14.29;5.77;0.17;2.7;8.81;0.87;2.16;0.11
Reno652;687587.93;4886830.47;0;40644.63;11973.2;44.108866;11.342993;61.15;0.57;13.1;4.4;0.1;2.44;5.5;1.71;2.08;0.13
Reno653;702330.64;4903657.91;0;55387.34;28800.64;44.256293;11.533517;59.33;0.48;10.83;3.02;0.09;3.46;9.62;1.76;1.99;0.15
Reno654;704085.91;4899841.69;0;57142.61;24984.42;44.22148;11.553997;41.74;0.53;10.75;4.2;0.13;3.38;17.07;0.76;1.93;0.11
Reno655;699839.86;4899581.34;0;52896.56;24724.07;44.220314;11.500791;44.75;0.58;12.35;4.49;0.12;3.79;14;0.87;2.11;0.13
Reno656;692498.17;4894272.65;0;45554.87;19415.38;44.174536;11.407016;48.29;0.7;15.78;6.1;0.12;2.82;9.4;0.28;2.37;0.11
Reno657;692059.41;4891428.32;0;45116.11;16571.05;44.149066;11.400494;50.23;0.74;16.93;6.47;0.12;2.69;7.43;0.3;2.63;0.09
Reno658;690671.67;4886616.97;0;43728.37;11759.7;44.106149;11.381416;52.73;0.76;17.3;6.8;0.14;2.93;5.28;0.48;2.54;0.11
Reno659;694905.9;4884767.94;0;47962.6;9910.67;44.088402;11.433593;55.44;0.58;13.68;4.99;0.13;2.55;7.89;1.04;2.15;0.13
Reno660;694668.69;4887114.42;0;47725.39;12257.15;44.109572;11.431498;52.94;0.54;12.43;4.27;0.1;3.57;10.18;1.4;2.11;0.13
Reno661;693759.37;4918177.01;0;46816.07;43319.74;44.38922;11.431637;40.54;0.5;12.25;4.49;0.09;3.03;16.33;0.47;1.62;0.08
Reno662;693619.78;4924545.65;0;46676.48;49688.38;44.446541;11.432261;52.98;0.45;10.72;4.06;0.15;2.04;12.89;0.86;1.9;0.17
Reno663;706980.41;4931801.48;0;60037.11;56944.21;44.508098;11.602903;51.63;0.61;14.14;4.98;0.13;2.69;9.13;0.68;2.49;0.24
Reno664;704931.14;4925940.13;0;57987.84;51082.86;44.455968;11.574827;46.74;0.64;16.17;6.18;0.13;3.2;7.27;0.34;2.66;0.1
Reno665;702223.68;4922145.56;0;55280.38;47288.29;44.422602;11.53935;51.04;0.61;13.69;4.69;0.17;2.22;9.14;0.51;1.83;0.19
Reno666;703539.84;4921506.64;0;56596.54;46649.37;44.416487;11.555617;48.86;0.68;15;5.83;0.15;2.98;9.07;0.47;2.55;0.11
Reno667;702148.45;4919440.3;0;55205.15;44583.03;44.398292;11.537353;51.22;0.66;15.65;5.77;0.13;3;7.42;0.55;2.69;0.11
Reno668;701772.43;4918031.28;0;54829.13;43174.01;44.385724;11.532089;47.08;0.63;15.87;5.89;0.13;3.1;8.8;0.35;2.74;0.09
Reno669;701283.62;4917524.18;0;54340.32;42666.91;44.381299;11.525762;45.17;0.63;15.74;5.95;0.12;3.13;8.57;0.37;2.68;0.1
Reno670;699779.5;4916960.62;0;52836.2;42103.35;44.376646;11.506682;48.09;0.52;12.6;4.45;0.13;2.46;12.47;0.52;2.27;0.11
Reno671;705344.71;4932891.16;0;58401.41;58033.89;44.518365;11.582779;47.21;0.62;14.82;5.62;0.1;2.62;8.42;0.35;2.42;0.25
Reno672;709612.7;4936648.14;0;62669.4;61790.87;44.550925;11.637952;47.71;0.63;15.14;5.73;0.12;2.75;8.42;0.35;2.42;0.25
Reno673;699553.89;4919666.02;0;52610.59;44808.75;44.401041;11.504891;46.23;0.64;14.38;5.5;0.12;2.73;10.82;0.36;2.33;0.13
Reno674;699441.1;4920567.7;0;52497.8;45710.43;44.409182;11.503822;47.49;0.66;16.26;6.08;0.1;2.91;7.72;0.23;2.6;0.09
Reno675;696771.24;4918275.96;0;49827.94;43418.69;44.389299;11.469454;46.23;0.62;14.39;5.69;0.11;2.54;10.55;0.28;2.25;0.1
Reno676;696771.21;4917129.92;0;49827.91;42272.65;44.378991;11.46902;48.56;0.65;15.21;5.86;0.12;2.57;7.88;0.22;2.4;0.11
Reno677;696451.5;4915157.42;0;49508.2;40300.15;44.361336;11.464266;48.02;0.58;13.91;5.13;0.16;3.32;10.43;0.63;2.47;0.1
Reno678;697974.53;4918614.01;0;51031.23;43756.74;44.392012;11.484676;43.21;0.66;14.54;6.15;0.12;2.59;12.32;0.25;2.04;0.09
Reno679;699798.24;4924193.45;0;52854.94;49336.18;44.441694;11.509699;46.56;0.55;12.96;4.78;0.12;2.55;12.91;0.44;2.11;0.18
Reno680;700512.75;4928946.35;0;53569.45;54089.08;44.484244;11.520509;46.26;0.64;15.88;5.77;0.09;2.74;6.77;0.32;2.41;0.23
Reno681;702829.94;4886897.75;0;55886.64;12040.48;44.105408;11.533298;37.29;0.47;9.61;3.73;0.1;2.99;22.31;0.79;1.62;0.12
Reno682;701288.87;4885887.9;0;54345.57;11030.63;44.09675;11.513676;33.29;0.45;9.51;3.68;0.11;3.21;25.46;0.67;1.56;0.12
Reno683;702064.9;4887690.84;0;55121.6;12833.57;44.112753;11.524052;36.2;0.48;9.69;3.75;0.11;2.81;22.78;0.75;1.65;0.17
Reno684;703368.95;4888284.66;0;56425.65;13427.39;44.117733;11.540561;35.44;0.54;10.04;4.22;0.11;3.43;23.59;0.59;1.7;0.13
Reno685;705428.92;4886441.5;0;58485.62;11584.23;44.10058;11.565562;26.53;0.39;7.99;3.43;0.1;2.81;29.51;0.44;1.36;0.07
Reno686;704229.9;4887597.64;0;57286.6;12740.37;44.111314;11.551044;27.37;0.46;8.66;3.58;0.11;2.65;29.78;0.37;1.39;0.12
Reno687;704461.89;4888466.61;0;57518.59;13609.34;44.119065;11.554277;37.02;0.49;10.32;4.02;0.11;3.22;18.74;0.53;1.64;0.24
Reno688;705231.94;4891318.61;0;58288.64;16461.34;44.144501;11.565002;27.9;0.42;8.23;3.37;0.11;3.22;30.37;0.5;1.45;0.08
Reno689;706294.93;4891062.45;0;59351.63;16205.18;44.141898;11.578179;21.84;0.33;6.69;2.64;0.09;2.6;34.26;0.41;1.07;0.06
Reno690;707145.96;4891720.4;0;60202.66;16863.13;44.147575;11.589067;30.74;0.45;9.01;3.71;0.12;3.44;27.47;0.55;1.55;0.1
Reno691;707017.98;4893092.39;0;60074.68;18235.12;44.159951;11.588008;28.74;0.38;7.52;2.98;0.11;2.67;31.42;0.5;1.25;0.11
Reno692;706713.99;4893466.42;0;59770.69;18609.15;44.163401;11.584357;25.33;0.39;7.91;3.35;0.12;2.76;31.04;0.35;1.36;0.1
Reno693;706941.93;4894737.44;0;59998.63;19880.17;44.174768;11.587705;30.41;0.48;8.99;3.7;0.12;3.39;27.42;0.51;1.57;0.1
Reno694;707548.98;4894382.33;0;60605.68;19525.06;44.171402;11.595151;28.59;0.47;9.07;3.82;0.1;2.74;27.06;0.41;1.54;0.1
Reno695;707356.93;4895137.45;0;60413.63;20280.18;44.178248;11.593049;38.71;0.54;11.37;4.53;0.11;3.87;17.13;0.73;1.94;0.12
Reno696;705248.92;4896827.63;0;58305.62;21970.36;44.194045;11.567364;34.34;0.51;11.15;4.29;0.1;3.95;19.76;0.42;1.85;0.11
Reno697;707901.99;4896735.42;0;60958.69;21878.15;44.192465;11.600493;38.06;0.54;11.49;4.54;0.11;3.86;17.48;0.7;1.94;0.12
Reno698;708028.93;4897483.39;0;61085.63;22626.12;44.199156;11.602376;36.85;0.5;11.33;4.39;0.1;4.29;18.83;0.54;1.9;0.12
Reno699;708912.95;4897446.31;0;61969.65;22589.04;44.19857;11.613413;41.82;0.43;9.52;3.31;0.1;4.04;18.65;1.02;1.69;0.11
Reno700;708682.97;4899026.32;0;61739.67;24169.05;44.212846;11.611166;52.77;0.6;13.5;4.11;0.11;4.27;9.72;1.28;2.31;0.2
Reno701;709771;4899601.17;0;62827.7;24743.9;44.217704;11.625001;46.38;0.61;13.55;4.714;0.12;4.15;11.76;0.79;2.24;0.18
Reno702;709447.97;4900126.23;0;62504.67;25268.96;44.222519;11.621171;38.86;0.5;11.14;4.16;0.11;3.82;18.61;0.64;1.88;0.14
Reno703;711666.01;4901086.07;0;64722.71;26228.8;44.230511;11.649298;50.82;0.66;12.43;4.26;0.12;4.15;11.83;1.13;2.06;0.19
Reno704;710201.01;4901164.15;0;63257.71;26306.88;44.231637;11.631005;48.45;0.65;13.35;4.83;0.13;4.25;11.58;0.93;2.22;0.19
Reno705;710567.03;4901736.18;0;63623.73;26878.91;44.236676;11.635813;48.7;1.07;12.4;5.35;0.17;4.31;13.74;1.06;1.95;0.23
Reno706;712103.03;4903450.03;0;65159.73;28592.76;44.251644;11.655721;40.45;0.56;11.76;4.59;0.22;4.07;16.7;0.56;1.93;0.2
Reno707;712317;4902460;0;65373.7;27602.73;44.242678;11.657997;48.77;0.7;12.21;4.23;0.13;4.89;13.73;1.23;2.02;0.2
Reno708;712080.98;4902552.99;0;65137.68;27695.72;44.243583;11.655082;48.68;0.58;11.88;4.05;0.11;3.92;12.86;1.2;2.04;0.16
Reno709;713324.04;4904849.91;0;66380.74;29992.64;44.263877;11.671569;39.87;0.58;11.61;4.61;0.12;2.87;17.11;0.45;1.76;0.13
Reno710;715133.02;4904996.7;0;68189.72;30139.43;44.264665;11.694268;43.2;0.6;12.21;4.83;0.12;2.97;15.69;0.54;1.85;0.17
Reno711;715383.08;4905396.67;0;68439.78;30539.4;44.268188;11.697562;48.63;0.6;11.46;4.13;0.11;3.77;13.25;1.19;1.95;0.18
Reno712;716254.03;4905330.63;0;69310.73;30473.36;44.267336;11.708435;40.58;0.54;11.04;4.31;0.14;3.21;17.86;0.63;1.67;0.19
Reno713;719933.1;4905105.31;0;72989.8;30248.04;44.264208;11.754383;39.61;0.56;11.48;4.4;0.13;3.73;17.81;0.57;1.84;0.15
Reno714;715449.08;4900825.65;0;68505.78;25968.38;44.227061;11.696508;49.52;0.65;11.32;3.87;0.12;4.05;13.85;1.23;1.86;0.17
Reno715;713389.01;4898765.92;0;66445.71;23908.65;44.209143;11.669905;42.16;0.54;11.17;4.02;0.11;3.79;17.48;0.84;1.89;0.13
Reno716;710276.01;4894059.18;0;63332.71;19201.91;44.167716;11.629098;38.7;0.52;10.29;3.86;0.11;3.47;20.55;0.8;1.76;0.12
Reno717;711683.05;4896087;0;64739.75;21229.73;44.185547;11.647495;35.33;0.51;10.81;4.07;0.11;3.8;21.55;0.54;1.79;0.12
Reno718;718200.11;4905975.43;0;71256.81;31118.16;44.272554;11.733059;43.01;0.59;12.37;4.55;0.12;3.92;14.98;0.72;2;0.18
Reno719;725730.16;4911250.62;0;78786.86;36393.35;44.317693;11.829578;47.43;0.6;11.45;4.13;0.11;3.34;14.17;1;1.79;0.16
Reno720;728681.24;4915095.34;0;81737.94;40238.07;44.351341;11.868224;46.75;0.52;10.2;3.99;0.12;3.26;15.96;1.05;1.69;0.15
Reno721;734201.3;4922643.73;0;87258;47786.46;44.417449;11.940793;45.75;0.53;11.37;4.5;0.12;3.66;14.4;0.9;1.88;0.17
Reno722;736289.27;4928316.41;0;89345.97;53459.14;44.467772;11.96957;46.69;0.5;11.02;4.31;0.13;3.28;14.81;0.98;1.76;0.15
Reno723;742266.43;4932695.69;0;95323.13;57838.42;44.505164;12.04666;44.88;0.54;12.07;4.54;0.11;3.83;13.79;0.86;2.05;0.14
Reno724;714397.03;4905642.86;0;67453.73;30785.59;44.270693;11.685322;46.5;0.53;10.29;3.62;0.13;3.51;17.1;1.09;1.69;0.17
Reno725;716096.07;4905889.64;0;69152.77;31032.37;44.27241;11.706689;54.39;0.59;13.54;3.79;0.12;2.65;9.91;1.01;1.89;0.14
Reno726;695126.84;4928605.57;0;48183.54;53748.3;44.482653;11.452713;53.83;0.65;15.43;5.42;0.1;2.79;6.98;0.66;1.95;0.09
Reno727;696575.83;4931545.51;0;49632.53;56688.24;44.508703;11.472035;51.06;0.45;11.21;3.82;0.1;2.58;13.27;0.92;1.71;0.27
Reno728;694579.84;4931545.67;0;47636.54;56688.4;44.509245;11.446947;50.49;0.62;15.35;5.65;0.12;3.01;7.71;0.79;2.29;0.1
Reno729;699751.83;4934678.23;0;52808.53;59820.96;44.536007;11.513165;54.58;0.35;9.41;3.43;0.13;1.77;13.39;1.27;1.8;0.14
Reno730;700910.89;4937018.16;0;53967.59;62160.89;44.55673;11.528651;58.37;0.29;8.38;2.53;0.11;1.57;13.45;1.55;1.79;0.11
Reno731;706151.97;4939674.76;0;59208.67;64817.49;44.579142;11.595638;51.94;0.49;10.9;4.22;0.12;2.29;12.98;0.9;1.95;0.22
Reno732;693345.83;4928758.7;0;46402.53;53901.43;44.484509;11.430394;55.56;0.36;9.87;3.1;0.12;2.36;14.55;1.09;1.7;0.08
Reno733;733384.26;4937912.85;0;86440.96;63055.58;44.554995;11.937431;46.15;0.61;13.8;5.16;0.12;3.23;12.76;0.63;2.15;0.12
Reno734;733508.24;4937444.83;0;86564.94;62587.56;44.550747;11.938778;50.23;0.45;11;3.78;0.13;3.15;14.33;1.12;1.52;0.12
Reno735;728726.18;4915056.32;0;81782.88;40199.05;44.350976;11.86877;49.04;0.63;11.87;4.07;0.12;3.56;15.22;0.85;1.79;0.16
Reno736;734085.25;4922667.7;0;87141.95;47810.43;44.417702;11.939348;46.8;0.65;12.27;4.15;0.11;3.2;12.66;1;1.82;0.15
Reno737;736215.27;4928007.51;0;89271.97;53150.24;44.465019;11.9685;47.6;0.59;12.71;4.51;0.12;3.31;12.41;0.87;1.93;0.16
Reno738;742671.4;4932639.62;0;95728.1;57782.35;44.504524;12.051721;44.55;0.61;12.76;4.49;0.12;3.63;13.88;0.68;1.93;0.15
Reno739;712109.98;4921210.12;0;65166.68;46352.85;44.411362;11.663031;39.73;0.61;12.99;5.67;0.12;4.99;13.09;0.69;2.35;0.1
Reno740;742671.4;4932639.62;0;95728.1;57782.35;44.504524;12.051721;48.69;0.49;11.22;3.61;0.1;3.88;14.87;1.15;1.64;0.13
Reno741;721293.14;4937658.23;0;74349.84;62800.96;44.556518;11.785271;48.1;0.57;13.47;5.17;0.14;3.09;11.65;0.62;1.76;0.1
Reno742;724336.18;4919688.84;0;77392.88;44831.57;44.394001;11.815753;42.35;0.63;13.35;5.63;0.11;4.8;12.32;0.65;2.46;0.09
Reno743;730972.22;4935572.2;0;84028.92;60714.93;44.534727;11.906053;40.96;0.56;12.66;5.09;0.1;5.1;13.01;0.72;2.32;0.09
Reno744;713357.99;4922203.95;0;66414.69;47346.68;44.419933;11.679097;41.15;0.57;12.64;5.13;0.11;4.64;13;0.57;2.31;0.09
Reno745;717782.07;4926742.58;0;70838.77;51885.31;44.45943;11.736514;41.6;0.57;13.1;5.18;0.1;4.61;12.03;0.65;2.4;0.1
