sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno355;684480.3;4912030.37;0;37537;37173.1;44.336348;11.313057;56.19;0.51;13.77;4.24;0.13;2.13;9.66;0.94;1.86;0.08
Reno356;685355.6;4913018.63;0;38412.3;38161.36;44.345015;11.324379;52.52;0.48;12.57;4.21;0.16;2.2;13.26;0.98;1.72;0.06
Reno357;685618.25;4914120.64;0;38674.95;39263.37;44.354861;11.328064;58.21;0.44;12.33;3.98;0.12;2.38;9.39;1.13;1.78;0.09
Reno358;684917.9;4914085.76;0;37974.6;39228.49;44.354726;11.319271;50.93;0.36;8.41;3.23;0.17;3;18.38;1.18;1.27;0.07
Reno359;686423.56;4915982.64;0;39480.26;41125.37;44.371404;11.338827;52.12;0.52;13.45;4.42;0.12;2.95;12.33;0.79;1.76;0.09
Reno360;686248.54;4917767.01;0;39305.24;42909.74;44.3875;11.337271;52.19;0.49;12.39;4.3;0.13;2.79;12.65;1.05;1.74;0.1
Reno361;686178.45;4919498.69;0;39235.15;44641.42;44.403095;11.337012;51.27;0.45;12;4.15;0.11;3.5;13.97;0.96;1.61;0.1
Reno362;686756.21;4920306.86;0;39812.91;45449.59;44.410216;11.344552;51.94;0.4;10.1;3.26;0.13;2.67;16.96;1.17;1.7;0.09
Reno363;687141.33;4922371;0;40198.03;47513.73;44.428684;11.350129;53.92;0.37;10.04;3.23;0.12;2.58;16;1.18;1.64;0.08
Reno364;685600.68;4923788.02;0;38657.38;48930.75;44.441827;11.331296;50.05;0.64;15.56;5.66;0.12;2.86;8.35;0.6;2.2;0.1
Reno365;687666.56;4924382.64;0;40723.26;49525.37;44.446643;11.35745;53.88;0.49;10.12;3.37;0.13;2.39;15.77;1.13;1.66;0.11
Reno366;668928.73;4905582.3;0;21985.43;30725.03;44.282119;11.116034;53.29;0.57;14.61;4.98;0.12;2.94;9.35;0.78;2.14;0.11
Reno367;668776.45;4904699.62;0;21833.15;29842.35;44.274213;11.113842;55.43;0.59;16.46;5.75;0.17;2.91;5.88;0.79;2.14;0.1
Reno368;668516.29;4903127.38;0;21572.99;28270.11;44.260128;11.110078;52.7;0.58;16.43;5.55;0.15;2.89;7.51;0.66;2.26;0.08
Reno369;668012.46;4902546.59;0;21069.16;27689.32;44.255019;11.103584;54.02;0.59;16.4;5.12;0.14;2.89;6.85;0.82;2.36;0.09
Reno370;667730.72;4902096.22;0;20787.42;27238.95;44.251032;11.099913;57.99;0.48;14.87;4.72;0.13;2.6;6.25;0.92;2.35;0.09
Reno371;666646.53;4901131.93;0;19703.23;26274.66;44.242605;11.086035;63.76;0.39;13.6;3.44;0.1;2.2;5.7;1.34;2.46;0.09
Reno372;665837.75;4901130.21;0;18894.45;26272.94;44.242774;11.075912;64.05;0.38;13.18;3.12;0.09;2.18;5.86;1.43;2.4;0.07
Reno373;665539.75;4900268.08;0;18596.45;25410.81;44.235085;11.07191;68.21;0.32;11.64;2.61;0.07;1.61;4.83;1.63;2.31;0.08
Reno374;665103.16;4899809.27;0;18159.86;24952;44.231056;11.066302;62.33;0.4;13.52;3.39;0.09;2.13;6.31;1.23;2.35;0.08
Reno375;664852.84;4898986.84;0;17909.54;24129.57;44.223713;11.062911;55.07;0.48;14.86;4.73;0.15;2.8;8.56;0.85;2.11;0.09
Reno376;664674.81;4898427.53;0;17731.51;23570.26;44.218721;11.060508;56.86;0.48;15.24;4.86;0.14;2.77;7.23;0.76;2.06;0.08
Reno377;664659.63;4897053.84;0;17716.33;22196.57;44.206365;11.059887;55.97;0.49;14.96;4.65;0.15;2.78;8.09;0.89;2.15;0.09
Reno378;664388.19;4895693.75;0;17444.89;20836.48;44.194189;11.056066;59.32;0.44;13.88;4.58;0.13;2.47;6.79;0.88;1.98;0.08
Reno379;664632.84;4894760.15;0;17689.54;19902.88;44.185734;11.058833;60.62;0.42;13.55;3.87;0.12;2.45;7.31;1.08;2.27;0.08
Reno380;664603.26;4894006.52;0;17659.96;19149.25;44.17896;11.058227;49.79;0.58;16.07;5.5;0.14;2.86;9.45;0.75;2.06;0.09
Reno381;664615.35;4893274.38;0;17672.05;18417.11;44.17237;11.058149;55.09;0.49;14.15;3.93;0.1;2.34;9.29;1.13;2.17;0.09
