X;Y;Z;reality
m;m;m; 
R+;R+;R;R
;;; 
X;Y;depth;field
;;; 
1493585.6;4916561.1;-3.1;25.3
1493585.3;4916559.9;-3.2;25.3
1493584.5;4916558.5;-3.2;25.3
1493583.7;4916557.1;-3.2;25.3
1493582.9;4916555.6;-3.1;25.3
1493582.7;4916554.0;-3.1;25.3
1493582.4;4916552.6;-3.7;25.3
1493582.2;4916551.3;-4.0;25.3
1493582.2;4916550.6;-4.2;25.3
1493582.2;4916549.9;-4.3;25.3
1493582.4;4916548.4;-4.6;25.3
1493582.2;4916546.9;-4.8;25.3
1493582.1;4916545.5;-5.2;25.3
1493581.8;4916542.5;-5.9;25.3
1493581.8;4916541.7;-5.8;25.3
1493581.9;4916541.0;-5.8;25.3
1493582.2;4916538.3;-5.6;25.3
1493582.2;4916536.8;-5.4;25.3
1493582.3;4916535.4;-5.3;25.3
1493582.1;4916534.0;-5.2;25.3
1493581.5;4916532.7;-5.5;25.3
1493581.1;4916531.3;-5.8;25.3
1493581.0;4916529.9;-6.0;25.3
1493581.0;4916528.4;-6.2;25.3
1493580.9;4916527.1;-6.5;25.3
1493580.8;4916525.7;-6.8;25.3
1493580.8;4916524.3;-7.1;25.3
1493580.6;4916523.7;-6.9;25.3
1493580.4;4916523.0;-6.8;25.3
1493579.9;4916521.7;-6.4;25.3
1493580.0;4916520.4;-6.2;25.3
1493580.3;4916517.7;-5.7;25.3
1493580.5;4916516.2;-5.6;25.3
1493580.5;4916514.8;-5.5;25.3
1493580.4;4916514.2;-5.5;25.3
1493580.4;4916513.5;-5.5;25.3
1493580.4;4916512.1;-5.5;25.3
1493580.4;4916510.7;-5.3;25.3
1493580.8;4916509.2;-5.1;25.3
1493580.9;4916507.8;-4.7;25.3
1493580.9;4916506.4;-4.4;25.3
1493580.7;4916504.9;-4.1;25.3
1493580.7;4916503.5;-4.0;25.3
1493580.6;4916500.8;-4.0;25.3
1493580.5;4916499.4;-4.0;25.3
1493580.4;4916498.0;-4.0;25.3
1493580.3;4916496.7;-4.1;25.3
1493580.5;4916495.2;-4.4;25.3
1493580.8;4916493.8;-4.7;25.3
1493580.7;4916492.5;-4.9;25.3
1493580.9;4916491.0;-4.7;25.3
1493580.9;4916489.6;-4.7;25.3
