id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
377;1624223.78473337;4843545.79542928;159;;pineta;6;0
395;1624258.6225303;4842909.98545321;159;;pineta;6;0
396;1624353.07072072;4843272.32164975;159;;pineta;6;0
428;1623774.47112408;4843413.85245846;159;;pineta;6;0
435;1624153.78875239;4843182.21169632;159;;pineta;6;0
458;1624195.69911955;4843418.01926544;159;;pineta;6;0
469;1623544.27067664;4843111.71105468;159;;pineta;6;0
486;1624747.54976143;4843172.50987015;159;;pineta;6;0
502;1624368.65482101;4843035.68903481;159;;pineta;6;0
611;1624536.19153152;4843367.21267284;159;;pineta;6;0
616;1624373.48926501;4843347.75852454;159;;pineta;6;0
649;1624550.6975155;4842932.65458747;159;;pineta;6;0
651;1624330.5344427;4843522.28314173;159;;pineta;6;0
718;1624267.89341476;4842943.55211418;159;;pineta;6;0
854;1624299.00915843;4842847.34995674;159;;pineta;6;0
910;1624642.35969314;4843004.11409309;159;;pineta;6;0
941;1624778.53686296;4843142.30911212;159;;pineta;6;0
5;1625917.78396585;4841641.74816882;160;;pineta;6;0
88;1626384.68024954;4840627.60026197;160;;pineta;6;0
89;1626305.40770017;4841437.08489127;160;;pineta;6;0
156;1626226.85664701;4841149.99561013;160;;pineta;6;0
194;1626157.60173869;4841479.03838519;160;;pineta;6;0
231;1626228.53797458;4840715.2259454;160;;pineta;6;0
248;1626045.99668134;4840628.14654079;160;;pineta;6;0
249;1626319.89118836;4841199.23632954;160;;pineta;6;0
282;1626121.35973318;4841631.78850084;160;;pineta;6;0
298;1626152.26441281;4841735.08065359;160;;pineta;6;0
304;1626181.89483735;4840520.13535159;160;;pineta;6;0
328;1625902.19857449;4841294.7538922;160;;pineta;6;0
368;1626167.28930206;4840872.06822597;160;;pineta;6;0
369;1625955.14532523;4841222.28262564;160;;pineta;6;0
