id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
513;1625367.195;4841059.1453;182;;formazioni_di_macchia_post_incendio;8;0
623;1624167.195;4840259.1453;182;;formazioni_di_macchia_post_incendio;8;0
625;1624567.195;4840259.1453;182;;formazioni_di_macchia_post_incendio;8;0
629;1625367.195;4840259.1453;182;;formazioni_di_macchia_post_incendio;8;0
655;1624767.195;4840059.1453;182;;formazioni_di_macchia_post_incendio;8;0
681;1624167.195;4839859.1453;182;;formazioni_di_macchia_post_incendio;8;0
684;1624767.195;4839859.1453;182;;formazioni_di_macchia_post_incendio;8;0
709;1623967.195;4839659.1453;182;;formazioni_di_macchia_post_incendio;8;0
711;1624367.195;4839659.1453;182;;formazioni_di_macchia_post_incendio;8;0
712;1624567.195;4839659.1453;182;;formazioni_di_macchia_post_incendio;8;0
739;1624167.195;4839459.1453;182;;formazioni_di_macchia_post_incendio;8;0
543;1625567.195;4840859.1453;182;;formazioni_di_macchia_post_incendio;8;0
544;1625767.195;4840859.1453;182;;formazioni_di_macchia_post_incendio;8;0
602;1625767.195;4840459.1453;182;;formazioni_di_macchia_post_incendio;8;0
541;1625167.195;4840859.1453;182;;formazioni_di_macchia_post_incendio;8;0
542;1625367.195;4840859.1453;182;;formazioni_di_macchia_post_incendio;8;0
660;1625767.195;4840059.1453;182;;formazioni_di_macchia_post_incendio;8;0
451;1624567.195;4841459.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
446;1623567.195;4841459.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
447;1623767.195;4841459.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
448;1623967.195;4841459.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
475;1623567.195;4841259.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
421;1624367.195;4841659.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
417;1623567.195;4841659.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
419;1623967.195;4841659.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
420;1624167.195;4841659.1453;184;;agricolo_/_altre_superf._non_boscate;9;0
129;1623967.195;4843659.1453;185;;agricolo_/_altre_superf._non_boscate;9;0
131;1624367.195;4843659.1453;185;;agricolo_/_altre_superf._non_boscate;9;0
100;1623967.195;4843859.1453;185;;agricolo_/_altre_superf._non_boscate;9;0
182;1622967.195;4843259.1453;186;;agricolo_/_altre_superf._non_boscate;9;0
573;1625767.195;4840659.1453;190;;agricolo_/_altre_superf._non_boscate;9;0
604;1626167.195;4840459.1453;190;;agricolo_/_altre_superf._non_boscate;9;0
274;1623967.195;4842659.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
275;1624167.195;4842659.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
303;1623967.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
304;1624167.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
332;1623967.195;4842259.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
333;1624167.195;4842259.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
362;1624167.195;4842059.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
305;1624367.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
243;1623567.195;4842859.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
244;1623767.195;4842859.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
246;1624167.195;4842859.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
272;1623567.195;4842659.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
273;1623767.195;4842659.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
298;1622967.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
299;1623167.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
300;1623367.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
302;1623767.195;4842459.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
327;1622967.195;4842259.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
329;1623367.195;4842259.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
360;1623767.195;4842059.1453;192;;agricolo_/_altre_superf._non_boscate;9;0
181;1622767.195;4843259.1453;193;;agricolo_/_altre_superf._non_boscate;9;0
209;1622567.195;4843059.1453;193;;agricolo_/_altre_superf._non_boscate;9;0
211;1622967.195;4843059.1453;193;;agricolo_/_altre_superf._non_boscate;9;0
210;1622767.195;4843059.1453;193;;agricolo_/_altre_superf._non_boscate;9;0
239;1622767.195;4842859.1453;193;;agricolo_/_altre_superf._non_boscate;9;0
444;1623167.195;4841459.1453;194;;agricolo_/_altre_superf._non_boscate;9;0
415;1623167.195;4841659.1453;195;;agricolo_/_altre_superf._non_boscate;9;0
398;1625567.195;4841859.1453;199;;agricolo_/_altre_superf._non_boscate;9;0
431;1626367.195;4841659.1453;200;;agricolo_/_altre_superf._non_boscate;9;0
252;1625367.195;4842859.1453;203;;agricolo_/_altre_superf._non_boscate;9;0
473;1623167.195;4841259.1453;212;;agricolo_/_altre_superf._non_boscate;9;0
468;1622167.195;4841259.1453;213;;agricolo_/_altre_superf._non_boscate;9;0
672;1622367.195;4839859.1453;214;;agricolo_/_altre_superf._non_boscate;9;0
