Timestamp;Temp. Ambiente
2023-04-20 07:20:44;10.48
2023-04-20 07:40:44;10.55
2023-04-20 08:00:43;10.6
2023-04-20 08:20:43;10.66
2023-04-20 08:40:43;10.65
2023-04-20 09:00:43;10.75
2023-04-20 09:20:42;10.8
2023-04-20 09:40:42;10.77
2023-04-20 10:00:42;10.85
2023-04-20 10:40:42;10.91
2023-04-20 11:00:41;10.96
2023-04-20 11:20:41;10.98
2023-04-20 11:40:41;11.06
2023-04-20 12:00:43;11.08
2023-04-20 12:40:40;11.18
2023-04-20 13:00:40;11.22
2023-04-20 13:20:40;11.18
2023-04-20 13:40:40;11.22
2023-04-20 14:00:39;11.13
2023-04-20 14:20:39;11.2
2023-04-20 14:40:39;11.21
2023-04-20 15:00:39;11.31
2023-04-20 15:40:38;11.42
2023-04-20 16:00:38;11.4
2023-04-20 16:20:38;11.43
2023-04-20 16:40:38;11.39
2023-04-20 17:00:37;11.31
2023-04-20 17:20:37;11.31
2023-04-20 17:40:37;11.31
2023-04-20 18:00:37;11.25
2023-04-20 18:20:36;11.29
2023-04-20 18:40:36;11.26
2023-04-20 19:00:36;11.29
2023-04-20 19:20:36;11.24
2023-04-20 19:40:36;11.2
2023-04-20 20:00:35;11.13
2023-04-20 20:20:36;11.12
2023-04-20 20:40:35;11.08
2023-04-20 21:20:35;11
2023-04-20 21:40:34;10.97
2023-04-20 22:00:34;10.94
2023-04-20 22:20:34;10.94
2023-04-20 22:40:34;10.94
2023-04-20 23:00:33;10.88
2023-04-20 23:20:33;10.89
2023-04-20 23:40:33;10.88
2023-04-21 00:00:33;10.87
2023-04-21 00:20:33;10.84
2023-04-21 00:40:32;10.8
2023-04-21 01:20:32;10.74
2023-04-21 02:00:32;10.78
2023-04-21 02:20:31;10.71
2023-04-21 02:40:32;10.72
2023-04-21 03:00:33;10.73
2023-04-21 03:40:30;10.74
2023-04-21 04:00:31;10.75
2023-04-21 04:20:30;10.78
2023-04-21 04:40:30;10.75
2023-04-21 05:00:29;10.79
2023-04-21 05:20:29;10.77
2023-04-21 05:40:29;10.72
2023-04-21 06:00:29;10.73
2023-04-21 06:20:29;10.77
2023-04-21 06:40:30;10.78
2023-04-21 07:00:28;10.77
2023-04-21 07:20:29;10.78
2023-04-21 07:40:28;10.81
