X;Y;Z;S;A;Q;C
1416687.81214;4856678.16495;-0.75;426.152479;0.187258;142.989654;1
1416688.18786;4856677.83505;-0.75;434.225751;0.188278;144.909544;1
1416688.56358;4856677.505149;-0.75;446.061424;0.188563;148.633629;1
1416688.9393;4856677.175249;-0.75;461.632176;0.200438;144.709207;1
1416689.31502;4856676.845348;-0.75;490.635186;0.206876;149.014464;1
1416689.690741;4856676.515447;-0.75;505.32265;0.215758;147.157565;1
1416690.066461;4856676.185547;-0.75;519.049798;0.213721;152.595799;1
1416690.442181;4856675.855646;-0.75;530.622202;0.214987;155.079127;1
1416690.817901;4856675.525746;-0.75;536.242607;0.218943;153.889807;1
1416691.193621;4856675.195845;-0.75;533.080292;0.219977;152.263142;1
1416691.569341;4856674.865944;-0.75;516.731909;0.21171;153.357212;1
1416691.945061;4856674.536044;-0.75;478.617687;0.196913;152.719517;1
1416692.320781;4856674.206143;-0.75;446.039816;0.188503;148.673725;1
1416692.696501;4856673.876243;-0.75;429.549601;0.193497;139.482217;1
1416693.072222;4856673.546342;-0.75;402.76035;0.197727;127.985289;1
1416693.447942;4856673.216441;-0.75;381.595984;0.197145;121.61779;1
1416693.823662;4856672.886541;-0.75;366.339967;0.206119;111.672674;1
1416694.199382;4856672.55664;-0.75;356.542166;0.2177;102.903897;1
1416694.575102;4856672.22674;-0.75;366.31507;0.228259;100.833823;1
1416694.950822;4856671.896839;-0.75;378.68931;0.260268;91.42028;1
1416695.326542;4856671.566939;-0.75;378.503093;0.272629;87.232285;1
1416695.702262;4856671.237038;-0.75;392.535229;0.276166;89.307668;1
1416696.077982;4856670.907137;-0.75;406.422533;0.274445;93.047065;1
1416696.453703;4856670.577237;-0.75;414.841274;0.272563;95.6302;1
1416696.829423;4856670.247336;-0.75;433.221029;0.27022;100.732918;1
1416697.205143;4856669.917436;-0.75;440.891582;0.271482;102.039927;1
1416697.580863;4856669.587535;-0.75;428.594439;0.235429;114.384391;1
1416697.956583;4856669.257634;-0.75;428.839186;0.213329;126.306141;1
1416698.332303;4856668.927734;-0.75;417.851767;0.193105;135.959516;1
1416698.708023;4856668.597833;-0.75;409.429051;0.175924;146.229343;1
1416699.083743;4856668.267933;-0.75;402.345213;0.158821;159.173356;1
1416699.459463;4856667.938032;-0.75;385.200391;0.135722;178.326593;1
1416699.835184;4856667.608132;-0.75;367.831934;0.115397;200.278665;1
1416700.210904;4856667.278231;-0.75;368.62872;0.109398;211.719302;1
1416700.586624;4856666.94833;-0.75;365.032175;0.105784;216.816525;1
1416700.962344;4856666.61843;-0.75;360.850106;0.101429;223.534599;1
1416701.338064;4856666.288529;-0.75;358.812252;0.102578;219.781697;1
1416701.713784;4856665.958629;-0.75;357.582002;0.095426;235.444544;1
1416702.089504;4856665.628728;-0.75;351.789968;0.099632;221.853391;1
1416702.465224;4856665.298827;-0.75;350.022571;0.105032;209.38886;1
1416702.840944;4856664.968927;-0.75;339.507149;0.110821;192.489326;1
1416703.216665;4856664.639026;-0.75;333.604336;0.109028;192.25324;1
1416703.592385;4856664.309126;-0.75;331.124252;0.124574;167.010512;1
1416703.968105;4856663.979225;-0.75;319.440676;0.13991;143.457083;1
1416704.343825;4856663.649324;-0.75;309.991283;0.158657;122.763755;1
1416704.719545;4856663.319424;-0.75;307.456278;0.172219;112.17127;1
1416705.095265;4856662.989523;-0.75;312.709752;0.187932;104.548961;1
1416705.470985;4856662.659623;-0.75;322.052506;0.201414;100.465338;1
1416705.846705;4856662.329722;-0.75;329.997192;0.214153;96.820411;1
1416706.222425;4856661.999822;-0.75;341.189744;0.20936;102.396014;1
1416706.598146;4856661.669921;-0.75;360.869619;0.209019;108.478506;1
1416706.973866;4856661.34002;-0.75;384.141652;0.217207;111.12154;1
1416707.349586;4856661.01012;-0.75;411.860026;0.222891;116.101223;1
1416707.725306;4856660.680219;-0.75;420.829224;0.212644;124.346389;1
1416708.101026;4856660.350319;-0.75;426.729303;0.204922;130.841253;1
1416708.476746;4856660.020418;-0.75;420.430517;0.197992;133.421588;1
1416708.852466;4856659.690517;-0.75;411.75497;0.196638;131.568199;1
1416709.228186;4856659.360617;-0.75;404.056724;0.183985;137.987593;1
1416709.603906;4856659.030716;-0.75;387.533326;0.160241;151.955034;1
1416709.979627;4856658.700816;-0.75;371.538893;0.13744;169.852665;1
1416710.355347;4856658.370915;-0.75;370.462889;0.124762;186.57021;1
1416710.731067;4856658.041015;-0.75;372.41134;0.109395;213.897329;1
1416711.106787;4856657.711114;-0.75;382.370475;0.098341;244.303938;1
1416711.482507;4856657.381213;-0.75;393.947059;0.088624;279.296807;1
1416711.858227;4856657.051313;-0.75;405.603499;0.08245;309.095078;1
1416712.233947;4856656.721412;-0.75;427.048755;0.076685;349.902863;1
1416712.609667;4856656.391512;-0.75;450.527343;0.071095;398.161885;1
1416712.985387;4856656.061611;-0.75;460.028399;0.068321;423.06608;1
1416713.361108;4856655.73171;-0.75;468.419457;0.064497;456.323197;1
1416713.736828;4856655.40181;-0.75;474.34356;0.060881;489.546636;1
1416714.112548;4856655.071909;-0.75;478.056797;0.058166;516.401459;1
1416684.806379;4856680.804155;-1.25;461.130767;0.125423;231.007304;1
1416685.182099;4856680.474254;-1.25;460.162369;0.13439;215.141027;1
1416685.557819;4856680.144354;-1.25;459.216331;0.142217;202.882364;1
1416685.933539;4856679.814453;-1.25;457.76959;0.152112;189.087496;1
1416686.309259;4856679.484553;-1.25;455.37502;0.155844;183.594217;1
1416686.68498;4856679.154652;-1.25;445.541125;0.16404;170.654522;1
1416687.0607;4856678.824751;-1.25;447.5732;0.165609;169.808739;1
1416687.43642;4856678.494851;-1.25;449.049162;0.167283;168.663366;1
1416687.81214;4856678.16495;-1.25;453.50301;0.168077;169.532482;1
1416688.18786;4856677.83505;-1.25;461.752822;0.169605;171.060525;1
1416688.56358;4856677.505149;-1.25;473.586423;0.170679;174.340458;1
1416688.9393;4856677.175249;-1.25;488.352232;0.180851;169.664532;1
1416689.31502;4856676.845348;-1.25;514.243682;0.187665;172.173506;1
1416689.690741;4856676.515447;-1.25;527.428272;0.194877;170.052545;1
