X;Y;Z;cat;ID
m;m;m;; 
R;R;A;K;V
;;;; 
xcoord;ycoord;absolute_depth;category;id_survey
;;;; 
1493299.50;4922451.00;58.59;5;3158
1493299.50;4922451.00;48.59;5;3158
1493299.50;4922451.00;38.59;5;3158
1493299.50;4922451.00;28.59;5;3158
1493299.50;4922451.00;18.59;5;3158
1493299.50;4922451.00;8.59;5;3158
1493299.50;4922451.00;-1.41;5;3158
1493299.50;4922451.00;-11.41;5;3158
1493299.50;4922451.00;-21.41;5;3158
1493299.50;4922451.00;-31.41;5;3158
1493299.50;4922451.00;-41.41;5;3158
1493299.50;4922451.00;-51.41;5;3158
1493297.88;4922449.50;59.07;5;3159
1493297.88;4922449.50;49.07;5;3159
1493297.88;4922449.50;39.07;5;3159
1493297.88;4922449.50;29.07;5;3159
1493297.88;4922449.50;19.07;5;3159
1493297.88;4922449.50;9.07;5;3159
1493297.88;4922449.50;-0.93;5;3159
1493297.88;4922449.50;-10.93;5;3159
1493297.88;4922449.50;-20.93;5;3159
1493297.88;4922449.50;-30.93;5;3159
1493297.88;4922449.50;-40.93;5;3159
1493297.88;4922449.50;-50.93;5;3159
1493295.62;4922448.00;59.11;5;3160
1493295.62;4922448.00;49.11;5;3160
1493295.62;4922448.00;39.11;5;3160
1493295.62;4922448.00;29.11;5;3160
1493295.62;4922448.00;19.11;5;3160
1493295.62;4922448.00;9.11;5;3160
1493295.62;4922448.00;-0.89;5;3160
1493295.62;4922448.00;-10.89;5;3160
1493295.62;4922448.00;-20.89;5;3160
1493295.62;4922448.00;-30.89;5;3160
1493295.62;4922448.00;-40.89;5;3160
1493295.62;4922448.00;-50.89;5;3160
1493294.00;4922447.50;58.70;5;3161
1493294.00;4922447.50;48.70;5;3161
1493294.00;4922447.50;38.70;5;3161
1493294.00;4922447.50;28.70;5;3161
1493294.00;4922447.50;18.70;5;3161
1493294.00;4922447.50;8.70;5;3161
1493294.00;4922447.50;-1.30;5;3161
1493294.00;4922447.50;-11.30;5;3161
1493294.00;4922447.50;-21.30;5;3161
1493294.00;4922447.50;-31.30;5;3161
1493294.00;4922447.50;-41.30;5;3161
1493294.00;4922447.50;-51.30;5;3161
1493289.25;4922446.00;57.94;5;3162
1493289.25;4922446.00;47.94;5;3162
1493289.25;4922446.00;37.94;5;3162
1493289.25;4922446.00;27.94;5;3162
1493289.25;4922446.00;17.94;5;3162
1493289.25;4922446.00;7.94;5;3162
1493289.25;4922446.00;-2.06;5;3162
1493289.25;4922446.00;-12.06;5;3162
1493289.25;4922446.00;-22.06;5;3162
1493289.25;4922446.00;-32.06;5;3162
1493289.25;4922446.00;-42.06;5;3162
1493289.25;4922446.00;-52.06;5;3162
1493281.38;4922445.50;56.43;5;3163
1493281.38;4922445.50;46.43;5;3163
1493281.38;4922445.50;36.43;5;3163
1493281.38;4922445.50;26.43;5;3163
1493281.38;4922445.50;16.43;5;3163
1493281.38;4922445.50;6.43;5;3163
1493281.38;4922445.50;-3.57;5;3163
1493281.38;4922445.50;-13.57;5;3163
1493281.38;4922445.50;-23.57;5;3163
1493281.38;4922445.50;-33.57;5;3163
1493281.38;4922445.50;-43.57;5;3163
1493281.38;4922445.50;-53.57;5;3163
1493279.88;4922445.50;56.27;5;3164
1493279.88;4922445.50;46.27;5;3164
1493279.88;4922445.50;36.27;5;3164
1493279.88;4922445.50;26.27;5;3164
1493279.88;4922445.50;16.27;5;3164
1493279.88;4922445.50;6.27;5;3164
1493279.88;4922445.50;-3.73;5;3164
1493279.88;4922445.50;-13.73;5;3164
1493279.88;4922445.50;-23.73;5;3164
1493279.88;4922445.50;-33.73;5;3164
1493279.88;4922445.50;-43.73;5;3164
1493279.88;4922445.50;-53.73;5;3164
1493277.00;4922444.50;56.04;5;3165
1493277.00;4922444.50;46.04;5;3165
1493277.00;4922444.50;36.04;5;3165
1493277.00;4922444.50;26.04;5;3165
1493277.00;4922444.50;16.04;5;3165
1493277.00;4922444.50;6.04;5;3165
1493277.00;4922444.50;-3.96;5;3165
1493277.00;4922444.50;-13.96;5;3165
1493277.00;4922444.50;-23.96;5;3165
1493277.00;4922444.50;-33.96;5;3165
1493277.00;4922444.50;-43.96;5;3165
1493277.00;4922444.50;-53.96;5;3165
1493273.62;4922442.50;56.01;5;3166
1493273.62;4922442.50;46.01;5;3166
1493273.62;4922442.50;36.01;5;3166
1493273.62;4922442.50;26.01;5;3166
1493273.62;4922442.50;16.01;5;3166
1493273.62;4922442.50;6.01;5;3166
1493273.62;4922442.50;-3.99;5;3166
1493273.62;4922442.50;-13.99;5;3166
1493273.62;4922442.50;-23.99;5;3166
1493273.62;4922442.50;-33.99;5;3166
1493273.62;4922442.50;-43.99;5;3166
1493273.62;4922442.50;-53.99;5;3166
1493271.38;4922441.50;55.95;5;3167
1493271.38;4922441.50;45.95;5;3167
1493271.38;4922441.50;35.95;5;3167
1493271.38;4922441.50;25.95;5;3167
1493271.38;4922441.50;15.95;5;3167
1493271.38;4922441.50;5.95;5;3167
1493271.38;4922441.50;-4.05;5;3167
1493271.38;4922441.50;-14.05;5;3167
1493271.38;4922441.50;-24.05;5;3167
1493271.38;4922441.50;-34.05;5;3167
1493271.38;4922441.50;-44.05;5;3167
1493271.38;4922441.50;-54.05;5;3167
1493267.50;4922441.00;55.34;5;3168
1493267.50;4922441.00;45.34;5;3168
1493267.50;4922441.00;35.34;5;3168
1493267.50;4922441.00;25.34;5;3168
1493267.50;4922441.00;15.34;5;3168
1493267.50;4922441.00;5.34;5;3168
1493267.50;4922441.00;-4.66;5;3168
1493267.50;4922441.00;-14.66;5;3168
1493267.50;4922441.00;-24.66;5;3168
1493267.50;4922441.00;-34.66;5;3168
1493267.50;4922441.00;-44.66;5;3168
1493267.50;4922441.00;-54.66;5;3168
1493262.75;4922441.50;55.42;5;3169
1493262.75;4922441.50;45.42;5;3169
1493262.75;4922441.50;35.42;5;3169
1493262.75;4922441.50;25.42;5;3169
1493262.75;4922441.50;15.42;5;3169
1493262.75;4922441.50;5.42;5;3169
1493262.75;4922441.50;-4.58;5;3169
1493262.75;4922441.50;-14.58;5;3169
1493262.75;4922441.50;-24.58;5;3169
1493262.75;4922441.50;-34.58;5;3169
1493262.75;4922441.50;-44.58;5;3169
1493262.75;4922441.50;-54.58;5;3169
1493258.12;4922442.00;55.26;5;3170
1493258.12;4922442.00;45.26;5;3170
1493258.12;4922442.00;35.26;5;3170
1493258.12;4922442.00;25.26;5;3170
1493258.12;4922442.00;15.26;5;3170
1493258.12;4922442.00;5.26;5;3170
1493258.12;4922442.00;-4.74;5;3170
1493258.12;4922442.00;-14.74;5;3170
1493258.12;4922442.00;-24.74;5;3170
1493258.12;4922442.00;-34.74;5;3170
1493258.12;4922442.00;-44.74;5;3170
1493258.12;4922442.00;-54.74;5;3170
1493253.50;4922443.50;55.04;5;3171
1493253.50;4922443.50;45.04;5;3171
1493253.50;4922443.50;35.04;5;3171
1493253.50;4922443.50;25.04;5;3171
1493253.50;4922443.50;15.04;5;3171
1493253.50;4922443.50;5.04;5;3171
1493253.50;4922443.50;-4.96;5;3171
1493253.50;4922443.50;-14.96;5;3171
1493253.50;4922443.50;-24.96;5;3171
1493253.50;4922443.50;-34.96;5;3171
1493253.50;4922443.50;-44.96;5;3171
1493253.50;4922443.50;-54.96;5;3171
1493249.62;4922444.50;54.58;5;3172
1493249.62;4922444.50;44.58;5;3172
1493249.62;4922444.50;34.58;5;3172
1493249.62;4922444.50;24.58;5;3172
1493249.62;4922444.50;14.58;5;3172
1493249.62;4922444.50;4.58;5;3172
1493249.62;4922444.50;-5.42;5;3172
1493249.62;4922444.50;-15.42;5;3172
1493249.62;4922444.50;-25.42;5;3172
1493249.62;4922444.50;-35.42;5;3172
1493249.62;4922444.50;-45.42;5;3172
1493245.75;4922445.00;54.18;5;3173
1493245.75;4922445.00;44.18;5;3173
1493245.75;4922445.00;34.18;5;3173
1493245.75;4922445.00;24.18;5;3173
1493245.75;4922445.00;14.18;5;3173
1493245.75;4922445.00;4.18;5;3173
1493245.75;4922445.00;-5.82;5;3173
1493245.75;4922445.00;-15.82;5;3173
1493245.75;4922445.00;-25.82;5;3173
1493245.75;4922445.00;-35.82;5;3173
1493245.75;4922445.00;-45.82;5;3173
1493243.62;4922445.50;54.01;5;3174
1493243.62;4922445.50;44.01;5;3174
1493243.62;4922445.50;34.01;5;3174
1493243.62;4922445.50;24.01;5;3174
1493243.62;4922445.50;14.01;5;3174
1493243.62;4922445.50;4.01;5;3174
1493243.62;4922445.50;-5.99;5;3174
1493243.62;4922445.50;-15.99;5;3174
1493243.62;4922445.50;-25.99;5;3174
1493243.62;4922445.50;-35.99;5;3174
1493243.62;4922445.50;-45.99;5;3174
1493241.12;4922445.50;53.81;5;3175
1493241.12;4922445.50;43.81;5;3175
1493241.12;4922445.50;33.81;5;3175
1493241.12;4922445.50;23.81;5;3175
1493241.12;4922445.50;13.81;5;3175
1493241.12;4922445.50;3.81;5;3175
1493241.12;4922445.50;-6.19;5;3175
1493241.12;4922445.50;-16.19;5;3175
1493241.12;4922445.50;-26.19;5;3175
1493241.12;4922445.50;-36.19;5;3175
1493241.12;4922445.50;-46.19;5;3175
1493239.00;4922445.00;54.31;5;3176
1493239.00;4922445.00;44.31;5;3176
1493239.00;4922445.00;34.31;5;3176
1493239.00;4922445.00;24.31;5;3176
1493239.00;4922445.00;14.31;5;3176
1493239.00;4922445.00;4.31;5;3176
1493239.00;4922445.00;-5.69;5;3176
1493239.00;4922445.00;-15.69;5;3176
1493239.00;4922445.00;-25.69;5;3176
1493239.00;4922445.00;-35.69;5;3176
1493239.00;4922445.00;-45.69;5;3176
1493238.12;4922444.50;54.30;5;3177
1493238.12;4922444.50;44.30;5;3177
1493238.12;4922444.50;34.30;5;3177
1493238.12;4922444.50;24.30;5;3177
1493238.12;4922444.50;14.30;5;3177
1493238.12;4922444.50;4.30;5;3177
1493238.12;4922444.50;-5.70;5;3177
1493238.12;4922444.50;-15.70;5;3177
1493238.12;4922444.50;-25.70;5;3177
1493238.12;4922444.50;-35.70;5;3177
1493238.12;4922444.50;-45.70;5;3177
1493236.50;4922444.50;54.88;5;3178
1493236.50;4922444.50;44.88;5;3178
1493236.50;4922444.50;34.88;5;3178
1493236.50;4922444.50;24.88;5;3178
1493236.50;4922444.50;14.88;5;3178
1493236.50;4922444.50;4.88;5;3178
1493236.50;4922444.50;-5.12;5;3178
1493236.50;4922444.50;-15.12;5;3178
1493236.50;4922444.50;-25.12;5;3178
1493236.50;4922444.50;-35.12;5;3178
1493236.50;4922444.50;-45.12;5;3178
1493234.50;4922443.00;54.90;5;3179
1493234.50;4922443.00;44.90;5;3179
1493234.50;4922443.00;34.90;5;3179
1493234.50;4922443.00;24.90;5;3179
1493234.50;4922443.00;14.90;5;3179
1493234.50;4922443.00;4.90;5;3179
1493234.50;4922443.00;-5.10;5;3179
1493234.50;4922443.00;-15.10;5;3179
1493234.50;4922443.00;-25.10;5;3179
1493234.50;4922443.00;-35.10;5;3179
1493234.50;4922443.00;-45.10;5;3179
1493231.12;4922441.50;54.68;5;3180
1493231.12;4922441.50;44.68;5;3180
1493231.12;4922441.50;34.68;5;3180
1493231.12;4922441.50;24.68;5;3180
1493231.12;4922441.50;14.68;5;3180
1493231.12;4922441.50;4.68;5;3180
1493231.12;4922441.50;-5.32;5;3180
1493231.12;4922441.50;-15.32;5;3180
1493231.12;4922441.50;-25.32;5;3180
1493231.12;4922441.50;-35.32;5;3180
1493231.12;4922441.50;-45.32;5;3180
1493228.38;4922439.00;55.13;5;3181
1493228.38;4922439.00;45.13;5;3181
1493228.38;4922439.00;35.13;5;3181
1493228.38;4922439.00;25.13;5;3181
1493228.38;4922439.00;15.13;5;3181
1493228.38;4922439.00;5.13;5;3181
1493228.38;4922439.00;-4.87;5;3181
1493228.38;4922439.00;-14.87;5;3181
1493228.38;4922439.00;-24.87;5;3181
1493228.38;4922439.00;-34.87;5;3181
1493228.38;4922439.00;-44.87;5;3181
1493228.38;4922439.00;-54.87;5;3181
1493226.12;4922437.50;55.20;5;3182
1493226.12;4922437.50;45.20;5;3182
1493226.12;4922437.50;35.20;5;3182
1493226.12;4922437.50;25.20;5;3182
1493226.12;4922437.50;15.20;5;3182
1493226.12;4922437.50;5.20;5;3182
1493226.12;4922437.50;-4.80;5;3182
1493226.12;4922437.50;-14.80;5;3182
1493226.12;4922437.50;-24.80;5;3182
1493226.12;4922437.50;-34.80;5;3182
1493226.12;4922437.50;-44.80;5;3182
1493226.12;4922437.50;-54.80;5;3182
1493223.75;4922436.50;55.09;5;3183
1493223.75;4922436.50;45.09;5;3183
1493223.75;4922436.50;35.09;5;3183
1493223.75;4922436.50;25.09;5;3183
1493223.75;4922436.50;15.09;5;3183
1493223.75;4922436.50;5.09;5;3183
1493223.75;4922436.50;-4.91;5;3183
1493223.75;4922436.50;-14.91;5;3183
1493223.75;4922436.50;-24.91;5;3183
1493223.75;4922436.50;-34.91;5;3183
1493223.75;4922436.50;-44.91;5;3183
1493223.75;4922436.50;-54.91;5;3183
1493219.00;4922436.00;54.41;5;3184
1493219.00;4922436.00;44.41;5;3184
1493219.00;4922436.00;34.41;5;3184
1493219.00;4922436.00;24.41;5;3184
1493219.00;4922436.00;14.41;5;3184
1493219.00;4922436.00;4.41;5;3184
1493219.00;4922436.00;-5.59;5;3184
1493219.00;4922436.00;-15.59;5;3184
1493219.00;4922436.00;-25.59;5;3184
1493219.00;4922436.00;-35.59;5;3184
1493219.00;4922436.00;-45.59;5;3184
1493217.50;4922436.50;54.55;5;3185
1493217.50;4922436.50;44.55;5;3185
1493217.50;4922436.50;34.55;5;3185
1493217.50;4922436.50;24.55;5;3185
1493217.50;4922436.50;14.55;5;3185
1493217.50;4922436.50;4.55;5;3185
1493217.50;4922436.50;-5.45;5;3185
1493217.50;4922436.50;-15.45;5;3185
1493217.50;4922436.50;-25.45;5;3185
1493217.50;4922436.50;-35.45;5;3185
1493217.50;4922436.50;-45.45;5;3185
1493201.62;4922441.00;53.82;5;3186
1493201.62;4922441.00;43.82;5;3186
1493201.62;4922441.00;33.82;5;3186
1493201.62;4922441.00;23.82;5;3186
1493201.62;4922441.00;13.82;5;3186
1493201.62;4922441.00;3.82;5;3186
1493201.62;4922441.00;-6.18;5;3186
1493201.62;4922441.00;-16.18;5;3186
1493201.62;4922441.00;-26.18;5;3186
1493201.62;4922441.00;-36.18;5;3186
1493201.62;4922441.00;-46.18;5;3186
