X;Y;Z;CO2;lCO2;T
m;m;m;[mol/m2];[mol/m2];Celsius
R+;R+;A;R+;R;R+
;;;;; 
relative_X;relative_Y;height;flux;Log_flux;temperature
;;arbitrary 0;;; 
350;600;0;12.3;1.09;30.7
350;575;0;5.04;0.70;37.4
350;550;0;16.0;1.21;35.3
350;525;0;58.0;1.76;36.4
350;500;0;9.14;0.96;34.4
350;475;0;3.71;0.57;32.7
350;450;0;1.17;0.07;32.7
350;425;0;0.464;-0.33;31.6
350;350;0;1.99;0.30;31.2
350;325;0;1.14;0.06;32.7
350;300;0;1.59;0.20;33.2
350;275;0;1.86;0.27;31.6
350;250;0;6.49;0.81;34.5
350;225;0;1.11;0.05;30.5
350;200;0;4.24;0.63;29.7
350;175;0;3.71;0.57;19.1
350;150;0;26.5;1.42;29.6
350;125;0;4.77;0.68;33.8
350;100;0;62.7;1.80;34.4
375;600;0;11.7;1.07;32.2
375;575;0;8.75;0.94;35.1
375;550;0;13.4;1.13;34.8
375;525;0;51.1;1.71;40.6
375;500;0;32.7;1.51;37.3
375;475;0;14.8;1.17;35.7
375;450;0;0.888;-0.05;32.6
375;425;0;0.596;-0.22;33.2
375;400;0;1.59;0.20;32.5
375;375;0;0.795;-0.10;34.2
375;350;0;2.39;0.38;33.2
375;325;0;0.663;-0.18;32.7
375;300;0;0.265;-0.58;32.3
375;275;0;0.663;-0.18;32.2
375;250;0;3.58;0.55;31.1
375;225;0;6.10;0.78;27.9
375;200;0;1.33;0.12;30.7
375;175;0;3.58;0.55;31.4
375;150;0;12.6;1.10;33.8
375;125;0;7.16;0.85;33.3
375;100;0;318;2.50;33.0
400;600;0;4.24;0.63;32.2
400;575;0;2.52;0.40;34.9
400;550;0;5.04;0.70;31.5
400;525;0;24.6;1.39;30.2
400;500;0;9.01;0.95;32.9
400;475;0;0.530;-0.28;30.7
400;450;0;1.72;0.24;29.4
400;425;0;2.78;0.44;29.8
400;400;0;1.03;0.01;30.8
400;375;0;0.954;-0.02;29.8
400;350;0;1.14;0.06;30.3
400;325;0;1.13;0.05;30.0
400;300;0;2.65;0.42;29.7
400;275;0;0.398;-0.40;30.1
400;250;0;15.0;1.18;29.8
400;225;0;0.265;-0.58;27.9
400;200;0;0.530;-0.28;28.9
400;175;0;0.265;-0.58;28.6
400;150;0;0.795;-0.10;30.7
400;125;0;0.265;-0.58;29.2
400;100;0;4.37;0.64;28.2
425;600;0;6.03;0.78;36.2
425;575;0;38.4;1.58;34.7
425;550;0;27.4;1.44;35.3
425;525;0;76.2;1.88;37.4
425;500;0;13.4;1.13;35.4
425;475;0;2.86;0.46;33.4
425;450;0;1.86;0.27;34.6
425;425;0;3.69;0.57;29.1
425;400;0;0.941;-0.03;27.9
425;375;0;104;2.02;30.1
425;350;0;3.64;0.56;29.4
425;325;0;2.88;0.46;27.9
425;300;0;1.46;0.16;28.2
425;275;0;152;2.18;28.8
425;250;0;160;2.21;32.0
425;225;0;82.2;1.91;31.8
425;200;0;11.1;1.05;26.7
425;175;0;5.80;0.76;30.1
425;150;0;14.8;1.17;27.9
425;125;0;6.32;0.80;27.3
450;600;0;6.59;0.82;41.7
450;575;0;15.6;1.19;35.5
450;550;0;15.1;1.18;35.4
450;525;0;5.06;0.70;36.6
450;500;0;43.9;1.64;37.7
450;475;0;4.84;0.68;31.9
450;450;0;24.1;1.38;34.3
450;425;0;5.67;0.75;30.0
450;400;0;6.74;0.83;27.2
450;375;0;66.3;1.82;29.9
450;350;0;11.8;1.07;30.5
450;325;0;0.769;-0.11;31.4
450;300;0;7.42;0.87;33.8
450;275;0;90.0;1.95;38.0
450;250;0;26.5;1.42;30.7
450;225;0;32.6;1.51;32.0
450;200;0;54.1;1.73;29.7
450;175;0;83.2;1.92;29.2
450;150;0;10.4;1.02;28.7
450;125;0;1.58;0.20;27.3
475;600;0;32.2;1.51;34.7
475;575;0;18.8;1.27;33.9
