id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4423230082025;090320180800;436393.17;4898180.29;0.014
4423360076572;090320180800;392846.94;4898892.16;0.001
4423410081182;090320180800;429662.99;4898449.05;0.013
4423530081194;090320180800;429760.25;4898581.31;0.023
4424240100033;090320180800;580193.9;4899482.32;0.001
4424330081958;090320180800;435870.07;4899407.32;0.015
4424400081958;090320180800;435870.83;4899485.07;0.027
4424500096147;090320180800;549162.85;4899465.42;0.036
4424690101517;090320180800;592036.34;4900137.65;0.002
4424970099658;090320180800;577190.07;4900257.26;0.008
4424990098400;090320180800;567146.21;4900169.02;0.11
4425000099690;090320180800;577445.16;4900293.59;0.004
4425780084492;090320180800;456114;4900850.95;0.08
4426000078056;090320180800;404740.84;4901641.44;0.005
4426390075183;090320180800;381815.09;4902448.49;0.007
4426430097370;090320180800;558908.57;4901689.52;0.047
4427000094297;090320180800;534377.14;4902148.33;0.106
4427470078364;090320180800;407222.58;4903238.92;0.009
4427470096596;090320180800;552721.35;4902792.13;0.06
4427520095977;090320180800;547781.08;4902809.83;0.078
4427780079022;090320180800;412478.31;4903510.9;0.1052
4428240098635;090320180800;568984.42;4903798.4;0.002
4428360082053;090320180800;436671.95;4903876.22;0.021
4428420083714;090320180800;449925.92;4903827.92;0.044
4428430083714;090320180800;449926.01;4903839.03;0.078
4428610079539;090320180800;416615.73;4904378.92;0.01
4428650082025;090320180800;436451.66;4904200.51;0.013
4428970083006;090320180800;444281.91;4904484.55;0.033
4429320082979;090320180800;444069.82;4904875.15;0.017
4429510094814;090320180800;538486.98;4904959.19;0.28
4429670093735;090320180800;529878.29;4905092.06;0.014
4429680093736;090320180800;529886.22;4905103.21;0.007
4429850096775;090320180800;554128.02;4905447.34;0.105
4429860076386;090320180800;391481.3;4906136.48;0.1019
4430000098000;090320180800;563898.45;4905701.96;0.002
4430350101195;090320180800;589379.66;4906388.92;0.218
4430410102168;090320180800;597139.85;4906566.1;0.214
4430540097658;090320180800;561164.72;4906275.72;0.113
4430620084830;090320180800;458846.02;4906209.4;0.036
