Team;point;x_utm;y_utm;CO2_flux
Fatima-Cesar;B0;419076;5114980;94.27159040000001
Fatima-Cesar;B1;419077;5114974;206.1178496
Fatima-Cesar;B2;419080;5114969;82.8403696
Fatima-Cesar;B3;419080;5114961;235.411616
Fatima-Cesar;B4;419080;5114954;649.5427199999999
Fatima-Cesar;B5;419081;5114943;40.792883200000006
Fatima-Cesar;B6;419081;5114940;45.751536
Fatima-Cesar;B7;419079;5114931;28.008369600000005
Fatima-Cesar;B8;419088;5114925;376.8574464000001
Fatima-Cesar;B9;419088;5114919;491.2159680000001
Fatima-Cesar;B10;419085;5114912;114.39748320000001
Fatima-Cesar;B11;419085;5114909;43.040764800000005
Fatima-Cesar;B12;419087;5114896;127.29419840000001
Fatima-Cesar;B13;419088;5114889;443.1930624
Fatima-Cesar;B14;419092;5114896;187.7983072
Fatima-Cesar;B15;419095;5114893;878.3182464
Fatima-Cesar;B16;419094;5114886;227.56453120000003
Fatima-Cesar;B17;419090;5114873;167.825632
Fatima-Cesar;B18;419092;5114867;163.1268832
Fatima-Cesar;B19;419094;5114859;105.84922239999999
Fatima-Cesar;B20;419096;5114853;20.121763200000004
Fatima-Cesar;ISO1;419082;5114944;537.2030592
Fatima-Cesar;ISO2;419077;5114959;49.64938240000001
Fatima-Cesar;ISO3;419114;5114929;98.89264800000001
Fatima-Cesar;ISO4;419118;5114928;714.1037104000001
Fatima-Cesar;ISO5;419109;5114901;4097.4964
Fatima-Cesar;ISO6;419128;5114908;3650.483968
Fatima-Cesar;ISO7;419121;5114911;36.895728000000005
Fatima-Cesar;ISO8;419105;5114884;187.37356480000003
Fatima-Cesar;ISO9;419116;5114870;131.764384
Fatima-Cesar;ISO10;419056;5114911;118.28810720000001
Bogi-Reka;C0;419080;5114984;97.15200000000002
Bogi-Reka;C1;419084;5114977;97.68
Bogi-Reka;C2;419083;5114972;99.352
Bogi-Reka;C3;419084;5114966;80.96000000000001
Bogi-Reka;C4;419084;5114959;62.7
Bogi-Reka;C5;419087;5114952;44.836
Bogi-Reka;C6;419085;5114948;67.452
Bogi-Reka;C7;419089;5114939;469.084
Bogi-Reka;C8;419090;5114934;142.208
Bogi-Reka;C9;419093;5114923;150.524
Bogi-Reka;C10;419096;5114918;214.984
Bogi-Reka;C11;419100;5114912;143.04399999999998
Bogi-Reka;C12;419103;5114906;322.3
Bogi-Reka;C13;419105;5114900;416.06399999999996
Bogi-Reka;C14;419103;5114890;2294.996
Bogi-Reka;C15;419104;5114883;55.132
Bogi-Reka;C16;419107;5114878;134.816
Bogi-Reka;C17;419106;5114869;279.532
Bogi-Reka;C18;419104;5114861;62.128
Bogi-Reka;C19;419102;5114853;23.716
Bogi-Reka;C20;419099;5114836;57.331999999999994
Involcan;F00;419115;5114996;11.956831935712
Involcan;F01;419117;5114988;28.777715938800004
Involcan;F02;419122;5114987;14.129222059679998
Involcan;F03;419123;5114979;21.524020021280002
Involcan;F04;419125;5114972;19.367553888
Involcan;F05;419129;5114967;14.980517759999998
Involcan;F06;419133;5114961;33.153786769272
Involcan;F07;419137;5114956;9.006051638
Involcan;F08;419142;5114950;13.9308204252
Involcan;F09;419147;5114943;22.585528977110403
Involcan;F10;419148;5114938;8.381972489344001
Involcan;F11;419151;5114930;30.358222934124804
Involcan;F12;419155;5114929;29.562631476095998
Involcan;F13;419158;5114919;29.2448799728064
Involcan;F14;419160;5114913;19.512403467136004
Involcan;F15;419163;5114908;27.1468944388224
Involcan;F16;419166;5114902;19.602829325056
Involcan;F17;419168;5114898;24.959822015044804
Involcan;F18;419171;5114890;14.32138685984
Involcan;F19;419175;5114884;23.686527527761605
Involcan;F20;419176;5114876;39.7015902906176
Involcan;F21;419140;5114924;229.7362885076224
Involcan;F22;419139;5114916;23.945098750272003
Involcan;F23;419145;5114911;42.27161832195841
Involcan;F24;419149;5114902;20.6203912270848
Involcan;F25;419153;5114896;21.603070694520003
Involcan;F26;419155;5114893;7.6511716109184
Involcan;F27;419158;5114886;81.17240367236
Involcan;F28;419162;5114883;38.978309768832005
Involcan;F29;419164;5114875;16.542213944256
Salvo;E0;419112.729758291;5114996.23331062;31.262
Salvo;E1;419117.970684371;5114983.93993119;18.814400000000003
Salvo;E2;419117.737691972;5114983.83187762;43.010000000000005
Salvo;E3;419118.156744379;5114980.49247429;36.656400000000005
Salvo;E4;419119.562943987;5114975.91762127;27.755199999999995
Salvo;E5;419125.804251165;5114963.38878707;26.2548
Salvo;E6;419128.29091878;5114958.7996759;28.639599999999998
Salvo;E7;419130.257890538;5114955.77323141;30.8484
Salvo;E8;419134.78138536;5114947.60111224;31.3632
Salvo;E9;419139.148143342;5114945.09864647;29.7968
Salvo;E10;419138.953668402;5114936.21088922;31.614
Salvo;E11;419143.460126508;5114932.59529288;45.452
Salvo;E12;419144.477545195;5114927.80331879;19.536
Salvo;E13;419149.248735455;5114920.85036265;17.5912
Salvo;E14;419155.020294535;5114913.66195395;27.0468
Salvo;E15;419154.822911513;5114904.55197752;7.9816
Salvo;E16;419158.36370871;5114897.94864997;16.214
Salvo;E17;419161.505950984;5114896.24025979;10.911999999999999
Salvo;E18;419165.384273266;5114885.96522615;19.9892
Salvo;E19;419167.707856529;5114880.71151033;24.1252
Salvo;E20;419171.413294786;5114874.88392257;49.80799999999999
Salvo;E21;419132.703735812;5114918.84610836;6.815600000000001
Salvo;E21bis;419132.703735812;5114918.84610836;6.815600000000001
Salvo;E22;419138.348784097;5114913.77080491;39.4416
Salvo;E23;419143.141971314;5114908.48448955;34.276
Salvo;E24;419145.819153599;5114900.78125988;17.8508
Salvo;E25;419147.481846464;5114898.09222397;9.416
Salvo;E26;419150.034006703;5114892.61322678;5.781600000000001
Salvo;E27;419149.117105694;5114881.6235507;53.284000000000006
Salvo;E28;419151.828025944;5114876.47584696;36.110800000000005
Salvo;E29;419153.789173355;5114873.00497213;25.498
Salvo;E30;419151.096786792;5114873.70726926;4.686
Salvo;E31;419149.505397859;5114875.95084694;10.6788
Salvo;E32;419146.426189516;5114882.43695963;12.4476
Salvo;E33;419145.764381284;5114890.78036956;11.5984
Salvo;E34;419145.642809499;5114899.11665123;18.0312
Salvo;E35;419076.376598948;5114873.69342744;45.232
Salvo;E36;419071.795892769;5114877.53231138;34.8172
Salvo;E37;419075.030567198;5114882.82378681;42.196
Salvo;E38;419069.515546005;5114891.89807803;38.082
Salvo;E39;419067.947407504;5114907.58798826;32.164
Salvo;E40;419070.264161591;5114907.66851858;25.5816
Salvo;E41;419068.412533976;5114913.58281488;43.604
Salvo;E42;419066.091983507;5114919.05878916;68.464
Salvo;E43;419066.67037215;5114921.94050569;85.184
Salvo;E44;419066.300635002;5114923.16780904;79.86
Salvo;E45;419059.572009148;5114939.70378904;43.8284
Salvo;E46;419059.685020573;5114948.25923556;37.5716
Salvo;E47;419057.102142883;5114951.40496848;51.964
Salvo;E48;419056.272906187;5114958.75044219;40.7528
Salvo;E49;419058.043300804;5114970.06222252;107.536
Salvo;E50;419049.418734495;5114971.6208344;28.424
Salvo;E51;419047.129051184;5114979.43012055;13.8732
Salvo;E52;419045.846429722;5114981.66964792;37.7828
Salvo;E53;419044.047698052;5114991.58390211;26.9676
