543856;5037072;-4880;118;;23814400;;;
543856;5037072;-4909;120;;24098281;;;
543856;5037072;-5639;140;;31798321;;;
543856;5037072;-5836;141;;34058896;;;
543856;5037072;-6225;160;;38750625;;;
543856;5037072;-6355;156;;40386025;;;
544087;5038574;-2881;90;;8300161;;;
544087;5038574;-4971;120;;24710841;;;
544087;5038574;-5600;145;;31360000;;;
544087;5038574;-5778;152;;33385284;;;
544087;5038574;-5944;154;;35331136;;;
544087;5038574;-6056;153;;36675136;;;
544210;5038919;-2375,5;86;;5643000,25;;;
544210;5038919;-5646,5;160;;31882962,25;;;
544210;5038919;-5692;154;;32398864;;;
545880;5012289;-1107,3;44;;1226113,29;;;
545880;5012289;-1547,8;52;;2395684,84;;;
548512;4970426;-1599,1;58;;2557120,81;;;
548512;4970426;-2264,6;73;;5128413,16;;;
548512;4970426;-3155,1;80;;9954656,01;;;
548512;4970426;-4373,7;106;;19129251,69;;;
548512;4970426;-5016,4;118;;25164268,96;;;
551209;5044783;-2558,8;78;;6547457,44;;;
551209;5044783;-4134,05;106;;17090369,4;;;
551209;5044783;-4961,2;107;;24613505,44;;;
551209;5044783;-6364;157;;40500496;;;
551410;5038385;-3168,6;76;;10040025,96;;;
551410;5038385;-5932,6;142;;35195742,76;;;
551410;5038385;-6893,1;171;;47514827,61;;;
551410;5038385;-6997,4;174;;48963606,76;;;
553920;5018096;-918;41;;842724;;;
553920;5018096;-1264;52;;1597696;;;
553920;5018096;-1464;54;;2143296;;;
553920;5018096;-1725;58;;2975625;;;
553920;5018096;-2520;79;;6350400;;;
559317;5028477;-1090;49;;1188100;;;
559317;5028477;-1614;57;;2604996;;;
562052;5025715;-994,65;47;;989328,6225;;;
562052;5025715;-1049,65;55;;1101765,123;;;
562052;5025715;-1679,65;57;;2821224,123;;;
562052;5025715;-1781,65;62;;3174276,723;;;
564208;4983518;-1476,1;44;;2178871,21;;;
564208;4983518;-1782,8;54;;3178375,84;;;
564208;4983518;-2830,45;75;;8011447,203;;;
564208;4983518;-3416,7;90;;11673838,89;;;
564208;4983518;-3483,1;92;;12131985,61;;;
564208;4983518;-3749,7;95;;14060250,09;;;
564756;5001699;-1105,15;41;;1221356,523;;;
564756;5001699;-1314,15;44;;1726990,223;;;
564756;5001699;-1803,65;58;;3253153,323;;;
564756;5001699;-2441,65;72;;5961654,723;;;
564756;5001699;-2511,65;72;;6308385,723;;;
565144;5037890;-2973;85;;8838729;;;
565144;5037890;-4379;117;;19175641;;;
565144;5037890;-4568;126;;20866624;;;
565144;5037890;-5938;145;;35259844;;;
565144;5037890;-6947;174;;48260809;;;
565144;5037890;-7126;177;;50779876;;;
570597;5056738;-1176,7;53;;1384622,89;;;
570597;5056738;-2125,7;66;;4518600,49;;;
570597;5056738;-3498,95;99;;12242651,1;;;
571003;4979934;-1874,7;56;;3514500,09;;;
571003;4979934;-1951,7;58;;3809132,89;;;
572938;4922264;-169,8;69;;28832,04;;;
572938;4922264;-2018,4;88;;4073938,56;;;
572938;4922264;-3125;108;;9765625;;;
572938;4922264;-4036,9;119;;16296561,61;;;
572938;4922264;-4132,4;128;;17076729,76;;;
574071;5042956;-2832,95;75;;8025605,703;;;
574071;5042956;-3856,95;93;;14876063,3;;;
574071;5042956;-4997,95;121;;24979504,2;;;
574071;5042956;-5492,95;146;;30172499,7;;;
574071;5042956;-6682,95;175;;44661820,7;;;
574383;5033137;-1499,75;51;;2249250,063;;;
574383;5033137;-2092,25;67;;4377510,063;;;
574383;5033137;-2901,25;71;;8417251,563;;;
576210;5004148;-1094,6;41;;1198149,16;;;
576210;5004148;-1303,6;44;;1699372,96;;;
576210;5004148;-1793,1;58;;3215207,61;;;
576210;5004148;-2431,1;72;;5910247,21;;;
576210;5004148;-2501,1;72;;6255501,21;;;
577378;5050285;-1711,53;67;;2929334,941;;;
577378;5050285;-3075,03;93;;9455809,501;;;
577907;5016313;-1422,25;48;;2022795,063;;;
577907;5016313;-1851,25;58;;3427126,563;;;
577907;5016313;-2048,25;68;;4195328,063;;;
578288;4962076;-1967,75;59;;3872040,063;;;
578288;4962076;-3036,75;89;;9221850,563;;;
580858;4982073;-994,8;40;;989627,04;;;
580858;4982073;-1144,8;43;;1310567,04;;;
580858;4982073;-1244,8;44;;1549527,04;;;
580858;4982073;-1294,8;46;;1676507,04;;;
580858;4982073;-1524,8;47;;2325015,04;;;
580858;4982073;-1894,8;66;;3590267,04;;;
580858;4982073;-1986,8;67;;3947374,24;;;
581785;4987907;-1276,65;54;;1629835,223;;;
581785;4987907;-2634,65;69;;6941380,623;;;
582934;5019255;-1682,55;52;;2830974,503;;;
582934;5019255;-1952,05;58;;3810499,203;;;
582934;5019255;-2233,05;64;;4986512,303;;;
582934;5019255;-2404,05;69;;5779456,403;;;
585563;4982857;-2234,9;74;;4994778,01;;;
585563;4982857;-3154,5;75;;9950870,25;;;
585563;4982857;-3731;87;;13920361;;;
585563;4982857;-4566,5;97;;20852922,25;;;
585563;4982857;-4880;103;;23814400;;;
585563;4982857;-5604,3;112;;31408178,49;;;
585563;4982857;-5864,3;115;;34390014,49;;;
585563;4982857;-5937,3;117;;35251531,29;;;
589101;5015517;-2514,85;82;;6324470,523;;;
589101;5015517;-2759,85;85;;7616772,023;;;
590432;5019491;-2021,7;72;;4087270,89;;;
590432;5019491;-2255,7;81;;5088182,49;;;
590432;5019491;-2515,4;88;;6327237,16;;;
591253;4950226;-1101,52;54;;1213346,31;;;
591253;4950226;-1677,47;64;;2813905,601;;;
593216;4943243;-1240;60;;1537600;;;
593216;4943243;-1942;74;;3771364;;;
596033;4948506;-2346,6;71;;5506531,56;;;
596033;4948506;-2871,4;80;;8244937,96;;;
596291;4947144;-1611;54;;2595321;;;
597696;5035857;-1055,4;53;;1113869,16;;;
597696;5035857;-2138,8;74;;4574465,44;;;
597696;5035857;-2638,4;76;;6961154,56;;;
599343;4998101;-1942,45;60;;3773112,003;;;
599343;4998101;-3276,95;73;;10738401,3;;;
599343;4998101;-3323,45;74;;11045319,9;;;
599343;4998101;-3376,45;82;;11400414,6;;;
600803;4942513;-1511,5;56;;2284632,25;;;
601735;5025397;-3194,15;78;;10202594,22;;;
601735;5025397;-5142,15;112;;26441706,62;;;
601735;5025397;-5896,15;126;;34764584,82;;;
606080;4939075;-1050,65;48;;1103865,423;;;
612040;4941953;-1985,25;63;;3941217,563;;;
616306;4974986;-2015,8;46;;4063449,64;;;
616306;4974986;-3350,5;75;;11225850,25;;;
616306;4974986;-5390,4;104;;29056412,16;;;
620605;4913550;-228;54;;51984;;;
620605;4913550;-656;70;;430336;;;
620605;4913550;-1293;78;;1671849;;;
620605;4913550;-2315;110;;5359225;;;
620605;4913550;-2452;112;;6012304;;;
626449;4945775;-901,7;47;;813062,89;;;
626449;4945775;-1193,7;50;;1424919,69;;;
626449;4945775;-1750,7;55;;3064950,49;;;
626449;4945775;-2158,7;55;;4659985,69;;;
627094;4964123;-2971;73;;8826841;;;
627094;4964123;-4930;97;;24304900;;;
627094;4964123;-5936;112;;35236096;;;
627094;4964123;-6420;114;;41216400;;;
629244;5009697;-1469,5;38;;2159430,25;;;
629244;5009697;-2959,5;55;;8758640,25;;;
629244;5009697;-4112,5;60;;16912656,25;;;
629244;5009697;-4729,5;65;;22368170,25;;;
629382;4927931;-672;49;;451584;;;
629382;4927931;-1166,7;55;;1361188,89;;;
630058;4947713;-1843,55;52;;3398676,603;;;
631573;4937565;-1049,7;49;;1101870,09;;;
