cat;easting;northing;symbol;na;mg;k;ca;al;fe;ti;p;mn;ba;sr;s;li;be;b;bi;sc;v;cr;co;ni;cu;zn;ga;ge;arsenico;rb;y;zr;nb;mo;ag;indium;sn;sb;te;cs;cd;se;w;au;tl;pb;u;hg;hf;ta;th;la;ce;pr;nd;sm;eu;gd;tb;dy;ho;er;tm;yb;lu
-;m;m;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
V;m;m;V;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
36;388051.01;4202935.66;S38;280;8400;5200;67700;23800;30100;150;1010;790;168;245;5000;21.6;1.2;28;0.24;5.8;54;45;12.4;34.3;39.4;88;7.82;0.05;6.2;30.3;12.5;1.4;0.7;1.2;0.104;0.03;1.91;0.48;0.09;1.86;0.34;0.3;0.2;5.5;0.34;21.1;0.6;90;0.05;0.025;3.7;13.1;30.9;3.8;16.9;3.5;0.8;3.4;0.5;2.5;0.5;1.2;0.1;0.8;0.1
37;357618.51;4139182.03;S39;580;6900;5200;79500;18800;27500;110;1290;340;100;745;5000;18.8;1;57;0.15;4.4;45;38;9.7;35.5;23.1;85.9;6.41;0.05;4.4;27.9;9.52;2.7;0.7;1.07;0.063;0.03;1.34;0.33;0.05;1.65;0.18;0.6;0.2;2.6;0.16;13.2;1.4;80;0.05;0.025;3.3;13.3;32.3;3.8;15.4;2.9;0.7;2.7;0.4;2.1;0.4;1;0.1;0.7;0.1
38;441760.51;4159341.6;S40;890;6700;4100;31800;27100;37600;1710;1040;806;211;162;5000;13.3;1.1;19;0.15;7.4;69;39;15.6;31.5;43.6;82.1;7.74;0.05;6;22.2;12.1;9.2;2.3;0.97;0.099;0.04;1.65;0.37;0.05;1.18;0.16;0.3;0.2;3.6;0.2;15.6;0.6;60;0.1;0.025;5.7;24.7;54.2;6;23.8;4.7;1;4.1;0.5;2.6;0.5;1.2;0.2;0.9;0.1
39;453674.24;4158804.19;S41;220;1800;1500;9600;8200;14800;180;360;169;75.6;67.1;5000;4.9;0.5;14;0.08;2.5;23;16;5.2;9.7;8.5;28.8;2.87;0.05;2.9;9.1;6.13;3.2;0.3;0.46;0.036;0.01;1.03;0.11;0.01;0.66;0.06;0.1;0.1;2;0.08;7.3;0.6;30;0.05;0.025;4.9;13.9;33.2;3.7;14.9;2.5;0.5;2.1;0.3;1.4;0.3;0.7;0.05;0.5;0.05
40;414412.65;4128379.38;S42;230;6500;4400;107000;18400;25000;100;710;593;121;2020;10000;16.9;0.9;40;0.14;4.5;41;35;9.7;26.8;27.5;72.9;5.94;0.05;4.5;22.4;7.91;1.9;0.4;2;0.337;0.03;1.78;0.41;0.04;1.27;0.12;0.6;0.1;3.3;0.18;18;1;60;0.05;0.025;3.3;9.4;24.1;2.9;12.5;2.3;0.6;2.4;0.3;1.8;0.3;0.8;0.1;0.6;0.05
41;451022.23;4207466.4;S43;170;2900;2900;6200;14700;23400;190;490;1420;129;66.9;5000;18.7;0.9;11;0.35;3;30;20;9.9;23;25.7;67.9;4.51;0.05;7.7;24.9;7.17;1.1;1.3;0.99;0.104;0.04;1.08;0.37;0.09;1.54;0.3;0.5;0.2;2.4;0.56;24.5;0.9;120;0.05;0.025;3.3;19.4;41.8;4.7;18.5;3;0.6;2.9;0.4;1.7;0.3;0.7;0.05;0.5;0.05
42;471665.12;4191969.22;S44;280;5700;4800;4000;25400;32700;70;640;2290;111;34.7;5000;26.4;1.3;15;0.39;5.3;45;41;16.9;39.9;49.1;89.1;7.75;0.05;3.7;33.2;7.63;1.5;1.2;0.99;0.134;0.04;2.61;0.24;0.08;1.5;0.19;0.5;0.2;2.8;0.54;27.5;0.6;140;0.05;0.025;2.7;8;21.1;2.4;10.6;2.9;0.7;2.7;0.4;1.9;0.3;0.7;0.05;0.5;0.05
43;447949.96;4202663.17;S45;210;2900;2600;2100;17500;24400;290;440;1470;82.7;22;5000;19;0.8;11;0.25;2.5;40;27;13;25.7;29.1;65.2;5.68;0.05;3.4;25.3;3.09;0.4;1.7;1.3;0.088;0.04;4.44;0.42;0.07;1.27;0.11;0.6;0.2;3.1;0.52;41.1;0.5;110;0.05;0.025;1.6;7.1;18.6;1.6;6.8;1.1;0.3;1.2;0.2;0.8;0.1;0.3;0.05;0.2;0.05
44;446556.92;4196670.92;S46;230;7700;4100;2200;29200;39600;1410;550;939;144;28.3;5000;40.8;1.4;8;0.55;5.9;67;38;13.5;25.1;38.5;95.3;10.7;0.05;8.4;48.1;8.54;2.8;3.9;1.2;0.179;0.08;3.2;0.23;0.1;3.18;0.1;0.3;0.3;1.8;0.77;26.9;1.7;80;0.05;0.025;7.6;31.1;68.3;7.1;26.7;4.7;0.8;3.8;0.5;2.3;0.4;0.9;0.1;0.6;0.1
45;287173.61;4213297.03;S47;180;4400;3600;7400;21300;33100;30;350;821;191;48.9;5000;12.2;1.3;22;0.19;5.9;50;41;13.7;24.1;19.7;76.9;7.42;0.05;6.2;21.2;6.99;2.8;0.4;0.94;0.166;0.06;6.21;0.22;0.01;0.87;0.15;0.9;0.1;5.7;0.23;20.8;0.7;100;0.05;0.025;5.2;13.8;37.6;4.3;18.3;3.9;0.8;3.1;0.4;1.8;0.3;0.8;0.05;0.6;0.05
