  1491648.00  4924444.00   1.70   5     57
  1491648.00  4924444.00   1.50   5     57
  1491648.00  4924444.00   1.30   5     57
  1491648.00  4924444.00   1.10   5     57
  1491648.00  4924444.00   0.90   5     57
  1491648.00  4924444.00   0.70   5     57
  1491648.00  4924444.00   0.50   5     57
  1491648.00  4924444.00   0.30   5     57
  1491648.00  4924444.00   0.10   5     57
  1491648.00  4924444.00  -0.10   5     57
  1491648.00  4924444.00  -0.30   5     57
  1491648.00  4924444.00  -0.50   5     57
  1491648.00  4924444.00  -0.70   5     57
  1491648.00  4924444.00  -0.90   5     57
  1491648.00  4924444.00  -1.10   5     57
  1491648.00  4924444.00   5.80   5     57
  1491648.00  4924444.00   5.60   5     57
  1491648.00  4924444.00   5.40   5     57
  1491648.00  4924444.00   5.20   5     57
  1491648.00  4924444.00   5.00   5     57
  1491648.00  4924444.00   4.80   5     57
  1491648.00  4924444.00   4.60   5     57
  1491648.00  4924444.00   4.40   5     57
  1491648.00  4924444.00   4.20   5     57
  1491648.00  4924444.00   4.00   5     57
  1491648.00  4924444.00   3.80   5     57
  1491648.00  4924444.00   3.60   5     57
  1491648.00  4924444.00   3.40   5     57
  1491648.00  4924444.00   8.30   5     57
  1491648.00  4924444.00   8.10   5     57
  1491648.00  4924444.00   7.90   5     57
  1491648.00  4924444.00   7.70   5     57
  1491648.00  4924444.00   7.50   5     57
  1491648.00  4924444.00   7.30   5     57
  1491648.00  4924444.00   7.10   5     57
  1491648.00  4924444.00   6.90   5     57
  1491648.00  4924444.00   6.70   5     57
  1491648.00  4924444.00   6.50   5     57
  1491648.00  4924444.00   6.30   5     57
  1491648.00  4924444.00   6.10   5     57
  1491648.00  4924444.00   5.90   5     57
  1491648.00  4924444.00   5.70   5     57
  1491648.00  4924444.00   5.50   5     57
  1491648.00  4924444.00   5.30   5     57
  1491648.00  4924444.00   5.10   5     57
  1491648.00  4924444.00   4.90   5     57
  1491648.00  4924444.00   4.70   5     57
  1491648.00  4924444.00   4.50   5     57
  1491648.00  4924444.00   4.30   5     57
  1491648.00  4924444.00   4.10   5     57
  1491648.00  4924444.00   3.90   5     57
  1491648.00  4924444.00   3.70   5     57
  1491648.00  4924444.00   3.50   5     57
  1491648.00  4924444.00   3.30   5     57
  1491648.00  4924444.00   3.10   5     57
  1491648.00  4924444.00   2.90   5     57
  1491648.00  4924444.00   0.30   6     57
  1491648.00  4924444.00   0.10   6     57
  1491648.00  4924444.00  -0.10   6     57
  1491648.00  4924444.00  -0.30   6     57
  1491648.00  4924444.00  -0.50   6     57
  1491648.00  4924444.00  -0.70   6     57
  1491648.00  4924444.00  -0.90   6     57
  1491648.00  4924444.00  -1.10   6     57
  1491648.00  4924444.00  -1.30   6     57
  1491648.00  4924444.00  -1.50   6     57
  1491648.00  4924444.00  -0.20   6     57
  1491648.00  4924444.00  -0.40   6     57
  1491648.00  4924444.00  -0.60   6     57
  1491936.00  4922718.00  13.90   6     59
  1491936.00  4922718.00  13.70   6     59
  1491936.00  4922718.00  13.50   6     59
  1491936.00  4922718.00  13.30   6     59
  1491936.00  4922718.00  13.10   6     59
  1491936.00  4922718.00  12.90   6     59
  1491936.00  4922718.00  12.70   6     59
  1491936.00  4922718.00  12.50   6     59
  1491936.00  4922718.00  12.30   6     59
  1491936.00  4922718.00  12.10   6     59
  1491936.00  4922718.00  11.90   6     59
  1491936.00  4922718.00  11.70   6     59
