"id";"date";"lat";"lon";"forecast"
"4407130099384";"080320180200";"575228.62";"4880416.59";"0.36"
"4407490100090";"080320180200";"580877.31";"4880883.28";"0.371"
"4407680081342";"080320180200";"430756.8";"4880963.8";"0.118"
"4408050081582";"080320180200";"432682.72";"4881354.84";"0.156"
"4408320078733";"080320180200";"409875.82";"4881927.37";"0.285"
"4408380101288";"080320180200";"590456.67";"4881996.31";"0.034"
"4408940101794";"080320180200";"594498.92";"4882675.09";"0.008"
"4409110101034";"080320180200";"588412.22";"4882779.57";"0.311"
"4409400101707";"080320180200";"593795.17";"4883176.08";"0.561"
"4409450098097";"080320180200";"564897.11";"4882884.06";"0.338"
"4409470098094";"080320180200";"564872.88";"4882906.04";"0.008"
"4410330099305";"080320180200";"574555.83";"4883963.68";"0.013"
"4410380100070";"080320180200";"580677.9";"4884091.27";"0.505"
"4410630097348";"080320180200";"558889.84";"4884138.46";"0.298"
"4410700098282";"080320180200";"566364.03";"4884287.18";"0.317"
"4411230099655";"080320180200";"577345.37";"4884995.58";"0.502"
"4411600101040";"080320180200";"588423.16";"4885545.89";"0.334"
"4411780078675";"080320180200";"409464.32";"4885776.81";"0.01"
"4412280079965";"080320180200";"419793.22";"4886198.21";"0.305"
"4412750077292";"080320180200";"398414.67";"4887015.8";"0.008"
"4412780100003";"080320180200";"580109.27";"4886750.45";"0.075"
"4412950098689";"080320180200";"569594.9";"4886819.87";"0.03"
"4413200081189";"080320180200";"429597.33";"4887107.93";"0.037"
"4413250097903";"080320180200";"563303.66";"4887089.68";"0.351"
"4413490101972";"080320180200";"595850.38";"4887749.42";"0.348"
"4413800099062";"080320180200";"572568.52";"4887796.17";"0.392"
"4414440081634";"080320180200";"433171.21";"4888448.06";"0.05"
"4414660082624";"080320180200";"441091.46";"4888616.65";"0.111"
"4414820081645";"080320180200";"433263.48";"4888869.24";"0.086"
"4414830096402";"080320180200";"551282.55";"4888740.23";"0.291"
"4415320097637";"080320180200";"561154.41";"4889368.77";"0.31"
"4415590100333";"080320180200";"582710.16";"4889904.2";"0.533"
"4416170075908";"080320180200";"387407.26";"4890994.82";"0.001"
"4416400082200";"080320180200";"437718.75";"4890580.59";"0.081"
"4416910101500";"080320180200";"592021.57";"4891494.24";"0.643"
"4417090102082";"080320180200";"596671.56";"4891760.9";"0.611"
"4417140096068";"080320180200";"548592.46";"4891285.75";"0.287"
"4417750080444";"080320180200";"423696.27";"4892228.24";"0.011"
"4417890096187";"080320180200";"549537.52";"4892125.88";"0.243"
"4418990097150";"080320180200";"557224.5";"4893410.12";"0.284"
"4419310077331";"080320180200";"398838.95";"4894297.36";"0.223"
"4419320083788";"080320180200";"450439.92";"4893715.73";"0.107"
"4419420074894";"080320180200";"379365.9";"4894748.67";"0.211"
"4419510097710";"080320180200";"561694.54";"4894028.16";"0.324"
"4419570083020";"080320180200";"444304.86";"4894042.67";"0.054"
"4419800098490";"080320180200";"567924.33";"4894411.7";"0.339"
"4420310082933";"080320180200";"443616.7";"4894870.55";"0.103"
"4421090101163";"080320180200";"589264.29";"4896099.96";"0.556"
"4421110079444";"080320180200";"415750.63";"4896058.07";"0.04"
"4421360095403";"080320180200";"543245.38";"4895935.93";"0.385"
"4422000078328";"080320180200";"406848.9";"4897167.24";"0.013"
"4422200099000";"080320180200";"571970.44";"4897120.83";"0.47"
"4422670099667";"080320180200";"577291.99";"4897703.41";"0.08"
"4422890100683";"080320180200";"585403.53";"4898048.3";"0.038"
"4423130097155";"080320180200";"557224.42";"4898008.9";"0.29"
"4423230082024";"080320180200";"436385.19";"4898180.37";"0.085"
"4423230082025";"080320180200";"436393.17";"4898180.29";"0.014"
"4423360076572";"080320180200";"392846.94";"4898892.16";"0.163"
"4423410081182";"080320180200";"429662.99";"4898449.05";"0.013"
"4423530081194";"080320180200";"429760.25";"4898581.31";"0.224"
"4424240100033";"080320180200";"580193.9";"4899482.32";"0.02"
"4424330081958";"080320180200";"435870.07";"4899407.32";"0.02"
