"id";"date";"lat";"lon";"forecast"
"4424240100033";"110320181400";"580193.9";"4899482.32";"0.552"
"4424330081958";"110320181400";"435870.07";"4899407.32";"0.843"
"4424400081958";"110320181400";"435870.83";"4899485.07";"0.027"
"4424500096147";"110320181400";"549162.85";"4899465.42";"0.933"
"4424690101517";"110320181400";"592036.34";"4900137.65";"0.567"
"4424970099658";"110320181400";"577190.07";"4900257.26";"0.708"
"4424990098400";"110320181400";"567146.21";"4900169.02";"0.871"
"4425000099690";"110320181400";"577445.16";"4900293.59";"0.643"
"4425780084492";"110320181400";"456114";"4900850.95";"0.08"
"4426000078056";"110320181400";"404740.84";"4901641.44";"0.724"
"4426390075183";"110320181400";"381815.09";"4902448.49";"0.596"
"4426430097370";"110320181400";"558908.57";"4901689.52";"0.833"
"4427000094297";"110320181400";"534377.14";"4902148.33";"0.855"
"4427470078364";"110320181400";"407222.58";"4903238.92";"0.639"
"4427470096596";"110320181400";"552721.35";"4902792.13";"0.842"
"4427520095977";"110320181400";"547781.08";"4902809.83";"0.969"
"4427780079022";"110320181400";"412478.31";"4903510.9";"0.456"
"4428240098635";"110320181400";"568984.42";"4903798.4";"0.811"
"4428360082053";"110320181400";"436671.95";"4903876.22";"0.841"
"4428420083714";"110320181400";"449925.92";"4903827.92";"0.912"
"4428430083714";"110320181400";"449926.01";"4903839.03";"0.078"
"4428610079539";"110320181400";"416615.73";"4904378.92";"0.555"
"4428650082025";"110320181400";"436451.66";"4904200.51";"0.013"
"4428970083006";"110320181400";"444281.91";"4904484.55";"0.899"
"4429320082979";"110320181400";"444069.82";"4904875.15";"0.017"
"4429510094814";"110320181400";"538486.98";"4904959.19";"0.915"
"4429670093735";"110320181400";"529878.29";"4905092.06";"0.014"
"4429680093736";"110320181400";"529886.22";"4905103.21";"0.007"
"4429850096775";"110320181400";"554128.02";"4905447.34";"0.658"
"4429860076386";"110320181400";"391481.3";"4906136.48";"0.387"
"4430000098000";"110320181400";"563898.45";"4905701.96";"0.762"
"4430350101195";"110320181400";"589379.66";"4906388.92";"0.864"
"4430410102168";"110320181400";"597139.85";"4906566.1";"0.583"
"4430540097658";"110320181400";"561164.72";"4906275.72";"0.773"
"4430620084830";"110320181400";"458846.02";"4906209.4";"0.784"
"4430620084831";"110320181400";"458854";"4906209.35";"0.014"
"4431000077442";"110320181400";"399924.63";"4907268.34";"0.764"
"4431010099845";"110320181400";"578602.55";"4906983.9";"0.658"
"4431090094410";"110320181400";"535254.57";"4906696.06";"0.888"
"4431270095486";"110320181400";"543834.88";"4906947.76";"0.909"
"4431320081598";"110320181400";"433075.08";"4907200.21";"0.013"
"4431330081596";"110320181400";"433059.24";"4907211.48";"0.816"
"4431880093298";"110320181400";"526382.29";"4907531.87";"0.91"
"4432190093453";"110320181400";"527616.88";"4907881.29";"0.612"
"4432220093455";"110320181400";"527632.68";"4907914.68";"0.008"
"4432320096148";"110320181400";"549105.76";"4908151.5";"0.883"
"4432710091691";"110320181400";"513565.48";"4908414.82";"0.983"
"4433300083829";"110320181400";"450884.3";"4909241.41";"0.629"
"4433300100335";"110320181400";"582478.55";"4909575.61";"0.673"
"4433420080872";"110320181400";"427311.05";"4909594.67";"0.726"
"4433430083478";"110320181400";"448087.1";"4909407.47";"0.932"
"4433440075586";"110320181400";"385169.43";"4910222.03";"0.795"
"4433540084801";"110320181400";"458635.27";"4909454.26";"0.828"
"4433620092104";"110320181400";"516855.86";"4909433.22";"0.969"
"4433910098221";"110320181400";"565617.83";"4910062.43";"0.864"
"4434170101403";"110320181400";"590979.77";"4910654.87";"0.712"
"4434210093562";"110320181400";"528476.3";"4910128.73";"0.834"
"4434560084375";"110320181400";"455246.9";"4910609.65";"0.725"
"4434700091593";"110320181400";"512779.81";"4910623.65";"0.988"
"4434970096991";"110320181400";"555802.6";"4911148.85";"0.878"
"4435050094808";"110320181400";"538403.03";"4911112.48";"0.93"
"4435240095841";"110320181400";"546634.68";"4911377.01";"0.008"
"4435290097641";"110320181400";"560979.96";"4911550.54";"0.939"
"4435450092093";"110320181400";"516762.98";"4911465.68";"0.945"
"4436180098966";"110320181400";"571529.16";"4912646.11";"0.694"
"4436190085273";"110320181400";"462415.12";"4912374.98";"0.839"
"4436190102008";"110320181400";"595769.57";"4912967.48";"0.609"
"4436330101056";"110320181400";"588181.34";"4913016.21";"0.677"
"4436640084667";"110320181400";"457589.41";"4912904.47";"0.775"
"4436660099559";"110320181400";"576248.33";"4913232.7";"0.726"
"4436690083225";"110320181400";"446100.03";"4913044.9";"0.057"
"4436810079644";"110320181400";"417568.56";"4913476.49";"0.768"
"4436920098830";"110320181400";"570436.57";"4913456.31";"0.012"
"4436920098832";"110320181400";"570452.5";"4913456.48";"0.902"
"4436940098928";"110320181400";"571217.15";"4913486.99";"0.682"
"4436960081910";"110320181400";"435625.17";"4913439.86";"0.887"
"4437060075275";"110320181400";"382762.28";"4914287.07";"0.795"
"4437230085732";"110320181400";"466078.72";"4913510.1";"0.989"
"4437490094577";"110320181400";"536546.79";"4913812.19";"0.981"
"4437780081139";"110320181400";"429492.03";"4914414.23";"0.781"
"4438240085556";"110320181400";"464682.58";"4914639.42";"0.014"
"4438310095842";"110320181400";"546618.33";"4914787.1";"0.86"
"4438400090607";"110320181400";"504917.75";"4914722.91";"0.926"
"4438720080178";"110320181400";"421848.79";"4915545.66";"0.749"
"4438780075472";"110320181400";"384365.76";"4916169.57";"0.766"
"4439170078147";"110320181400";"405678.73";"4916259.58";"0.712"
"4439360092710";"110320181400";"521665.85";"4915823.16";"0.954"
"4439370092710";"110320181400";"521665.82";"4915834.27";"0.052"
"4439920082803";"110320181400";"442769.09";"4916661.34";"0.804"
"4440040089459";"110320181400";"495774.45";"4916544.2";"0.911"
"4440230082722";"110320181400";"442127.11";"4917011.38";"0.011"
"4440290090932";"110320181400";"507504.17";"4916824.69";"0.612"
"4440350086477";"110320181400";"472029.18";"4916947.46";"0.915"
"4440530096205";"110320181400";"549491.21";"4917274.26";"0.825"
"4440580100147";"110320181400";"580879.56";"4917643.25";"0.702"
