X;Y;Z;T
581784.98272260;4987907.24116242;36.00000000;12.28000000
426074.59426327;5027465.23361095;300.00000000;10.70000000
434461.89459247;5035327.67950236;226.00000000;11.14000000
459140.46903800;5044740.13864229;199.00000000;11.31000000
629382.28117080;4927930.57213300;317.00000000;10.60000000
631572.98467868;4937564.62553664;130.00000000;11.72000000
629243.68416885;5009697.25484707;32.00000000;12.31000000
597695.63761776;5035856.58885077;114.00000000;11.82000000
620605.03986423;4913550.12697300;771.00000000;7.87000000
601734.96238113;5025397.24462205;73.00000000;12.06000000
506540.50951767;5037255.62499915;137.00000000;11.68000000
511434.36637897;5044650.63990539;156.00000000;11.56000000
599342.97162948;4998101.49275595;36.00000000;12.28000000
508186.60138375;4984755.26763454;85.00000000;11.99000000
577906.58516698;5016313.24866050;50.00000000;12.20000000
536415.39174072;5029069.77908645;82.00000000;12.01000000
574382.80316899;5033137.27485715;98.00000000;11.91000000
559317.19355562;5028477.30971206;85.00000000;11.99000000
526650.88890113;5038119.80506312;126.00000000;11.75000000
537241.65842433;5015009.60527273;78.00000000;12.03000000
564756.22109248;5001699.17160108;41.00000000;12.25000000
485470.13137973;4956706.29585824;188.00000000;11.37000000
447930.39324269;5007637.32349425;135.00000000;11.69000000
544087.48853250;5038573.58840274;112.00000000;11.83000000
551209.31637925;5044782.87145157;138.00000000;11.67000000
540929.04546546;5013565.91465980;75.00000000;12.05000000
545880.15544709;5012288.92871321;70.00000000;12.08000000
