east;north;height;cat;T_CORR
;;;; 
R+;R+;D;;R
;;;;
x_coordinate;y_coordinate;depth;cat;temperature
;;;;
593215.53761564;4943243.22873235;-1942;137;74
589100.92082707;5015516.67823732;-2759.85;138;85
590432.32742927;5019491.30776337;-2255.7;139;81
582933.9798597;5019255.02966412;-1952.05;140;58
576209.98668506;5004148.45602824;-1303.6;141;44
487535.59901587;5040841.93423269;-2173.5;142;69
528556.82253996;5045094.15039663;-3240;143;101
505467.8430386;5012624.88411686;-4404.6;144;111
578287.59836642;4962076.45027339;-3036.75;145;89
571003.18718538;4979934.33227852;-1951.7;146;58
581784.9827226;4987907.24116242;-2634.65;147;69
629382.2811708;4927930.572133;-1166.7;148;55
629243.68416885;5009697.25484707;-2959.5;149;55
597695.63761776;5035856.58885077;-2138.8;150;74
620605.03986423;4913550.126973;-656;151;70
601734.96238113;5025397.24462205;-5142.15;152;112
506540.50951767;5037255.62499915;-2535;153;79
511434.36637897;5044650.63990539;-1341.3;154;41
599342.97162948;4998101.49275595;-3276.95;155;73
508186.60138375;4984755.26763454;-1502.9;156;55
577906.58516698;5016313.2486605;-1851.25;157;58
536415.39174072;5029069.77908645;-1824.65;158;56
574382.80316899;5033137.27485715;-2092.25;159;67
559317.19355562;5028477.30971206;-1614;160;57
526650.88890113;5038119.80506312;-2824.6;161;83
537241.65842433;5015009.60527273;-1936.7;162;67
564756.22109248;5001699.17160108;-1314.15;163;44
544087.48853251;5038573.58840274;-4971;164;120
551209.31637925;5044782.87145157;-4134.05;165;106
540929.04546545;5013565.9146598;-1817.15;166;69
545880.15544709;5012288.92871321;-1547.8;167;52
570596.8876885;5056738.25912611;-3498.95;169;99
481536.19849357;5043000.93147857;-5450.1;170;160
543855.76949398;5037072.08402409;-4189.7;171;109
403880.07220331;4959662.86283188;-3493.9;172;111
564208.36807085;4983517.60695089;-2830.45;173;75
540069.77704964;5032724.95711101;-1355.15;174;48
616306.20485205;4974986.3752803;-5390.4;175;104
481812.09769729;5041222.54643197;-5371.35;176;157
627093.53719138;4964122.99884147;-5936;178;112
532705.00438653;4991365.96775925;-2597.25;179;82
388992.83705355;4951257.71369486;-2210.15;180;72
438864.44777309;4979276.86404208;-2162.5;181;66
572937.90661841;4922263.94868978;-3125;182;108
548512.49055089;4970425.66764587;-3155.1;183;80
446246.97337843;5017428.21816352;-3054.4;184;93
483454.50398283;5033252.29792465;-5871;185;182
479243.719992;5036775.47729611;-5336;186;157
501645.32351521;5020643.66843176;-4605;187;133
517629.52445059;5000560.23656799;-3984.5;188;102
585562.9422528;4982856.97419825;-3731;189;87
626448.61215107;4945774.57899554;-1750.7;190;55
580858.43400258;4982073.49983652;-1244.8;191;44
534301.27591965;5069154.69450787;-3297.4;192;89
574071.32644516;5042955.91296622;-4997.95;193;121
565144.07762551;5037890.18719024;-4568;194;126
553919.79799556;5018096.24785601;-1464;195;54
510262.25666247;5016707.96403304;-4572.1;196;140
405980.86353008;5010220.96843936;-2459.4;197;74
562052.27528244;5025714.91979951;-1679.65;198;57
473069.85724248;4994438.37416682;-3547.9;199;95
551410.05589652;5038384.87104027;-6893.1;200;171
515158.40758478;5008441.37160803;-5492;201;145
590432.32742927;5019491.30776337;-2515.4;202;88
582933.9798597;5019255.02966412;-2233.05;203;64
576209.98668506;5004148.45602824;-1793.1;204;58
487535.59901587;5040841.93423269;-2861.5;205;84
528556.82253996;5045094.15039663;-3616;206;104
505467.8430386;5012624.88411686;-5342.1;207;135
629243.68416885;5009697.25484707;-4112.5;208;60
597695.63761776;5035856.58885077;-2638.4;209;76
620605.03986423;4913550.126973;-1293;210;78
601734.96238113;5025397.24462205;-5896.15;211;126
506540.50951767;5037255.62499915;-3278;212;97
599342.97162948;4998101.49275595;-3323.45;213;74
508186.60138375;4984755.26763454;-2415.9;214;68
577906.58516698;5016313.2486605;-2048.25;215;68
536415.39174072;5029069.77908645;-2632.65;216;77
574382.80316899;5033137.27485715;-2901.25;217;71
537241.65842433;5015009.60527273;-2442.7;218;75
564756.22109248;5001699.17160108;-1803.65;219;58
544087.48853251;5038573.58840274;-5600;220;145
551209.31637925;5044782.87145157;-4961.2;221;107
540929.04546545;5013565.9146598;-2405.65;222;82
481536.19849357;5043000.93147857;-6289.8;224;178
543855.76949398;5037072.08402409;-4629;225;116
544210.06657017;5038918.86855734;-5646.5;226;160
564208.36807085;4983517.60695089;-3416.7;227;90
540069.77704964;5032724.95711101;-1525.15;228;53
481812.09769729;5041222.54643197;-5868.65;229;167
627093.53719138;4964122.99884147;-6420;231;114
532705.00438653;4991365.96775925;-3345.93;232;95
